F5 PE Ratio Historical Data,F5 PE Ratio Historical Data,F5 PE Ratio Historical Data,F5 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,203.15,,21.82
2024-06-30,172.23,$9.31,18.5
2024-03-31,189.59,$8.35,22.71
2023-12-31,178.98,$7.69,23.27
2023-09-30,161.14,$6.57,24.53
2023-06-30,146.26,$5.51,26.54
2023-03-31,145.69,$5.40,26.98
2022-12-31,143.51,$4.98,28.82
2022-09-30,144.73,$5.29,27.36
2022-06-30,153.04,$5.60,27.33
2022-03-31,208.95,$5.69,36.72
2021-12-31,244.71,$5.47,44.74
2021-09-30,198.78,$5.37,37.02
2021-06-30,186.66,$4.83,38.65
2021-03-31,208.62,$4.51,46.26
2020-12-31,175.94,$4.81,36.58
2020-09-30,122.77,$5.02,24.46
2020-06-30,139.48,$5.33,26.17
2020-03-31,106.63,$5.62,18.97
2019-12-31,139.65,$6.55,21.32
2019-09-30,140.42,$7.09,19.81
2019-06-30,145.63,$7.70,18.91
2019-03-31,156.93,$8.26,19.0
2018-12-31,162.03,$8.10,20.0
2018-09-30,199.42,$7.35,27.13
2018-06-30,172.45,$7.31,23.59
2018-03-31,144.61,$6.84,21.14
2017-12-31,131.22,$6.50,20.19
2017-09-30,120.56,$6.53,18.46
2017-06-30,127.06,$6.03,21.07
2017-03-31,142.57,$5.88,24.25
2016-12-31,144.72,$5.56,26.03
2016-09-30,124.64,$5.40,23.08
2016-06-30,113.84,$5.12,22.23
2016-03-31,105.85,$5.04,21.0
2015-12-31,96.96,$5.11,18.97
2015-09-30,115.8,$5.04,22.98
2015-06-30,120.35,$4.94,24.36
2015-03-31,114.94,$4.70,24.46
2014-12-31,130.47,$4.43,29.45
2014-09-30,118.74,$4.09,29.03
2014-06-30,111.44,$3.80,29.33
2014-03-31,106.63,$3.61,29.54
2013-12-31,90.86,$3.50,25.96
2013-09-30,85.81,$3.51,24.45
2013-06-30,68.8,$3.39,20.29
2013-03-31,89.08,$3.44,25.9
2012-12-31,97.15,$3.50,27.76
2012-09-30,104.64,$3.45,30.33
2012-06-30,99.56,$3.44,28.94
2012-03-31,134.96,$3.30,40.9
2011-12-31,106.12,$3.12,34.01
2011-09-30,71.05,$2.97,23.92
2011-06-30,110.25,$2.72,40.53
2011-03-31,102.57,$2.45,41.87
2010-12-31,130.16,$2.18,59.71
2010-09-30,103.81,$1.86,55.81
2010-06-30,68.57,$1.63,42.07
2010-03-31,61.63,$1.42,43.4
2009-12-31,52.97,$1.25,42.38
