Viatris PE Ratio Historical Data,Viatris PE Ratio Historical Data,Viatris PE Ratio Historical Data,Viatris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,12.08,,0.0
2024-06-30,10.63,$-0.55,0.0
2024-03-31,11.94,$-0.06,0.0
2023-12-31,10.83,$0.04,270.75
2023-09-30,9.86,$1.51,6.53
2023-06-30,9.98,$1.53,6.52
2023-03-31,9.62,$1.57,6.13
2022-12-31,11.13,$1.71,6.51
2022-09-30,8.52,$0.66,12.91
2022-06-30,10.35,$0.63,16.42
2022-03-31,10.64,$0.14,76.02
2021-12-31,13.13,$-1.26,0.0
2021-09-30,13.04,$-0.68,0.0
2021-06-30,13.65,$-0.86,0.0
2020-12-31,17.77,$-0.59,0.0
2020-09-30,14.06,$0.52,27.04
2020-06-30,15.25,$-0.70,0.0
2020-03-31,14.14,$-0.41,0.0
2019-12-31,19.06,$-0.78,0.0
2021-03-31,13.24,$-0.87,0.0
2019-09-30,18.75,$0.09,208.37
2019-06-30,18.05,$0.06,300.86
2019-03-31,26.87,$0.56,47.98
2018-12-31,25.98,$1.07,24.28
2018-09-30,34.7,$1.13,30.71
2018-03-31,39.03,$1.34,29.13
2017-12-31,40.11,$1.29,31.1
2017-09-30,29.74,$1.61,18.47
2017-06-30,36.81,$1.52,24.21
2017-03-31,36.97,$0.74,49.95
2016-12-31,36.17,$0.95,38.07
2018-06-30,34.26,$0.20,171.32
2016-09-30,36.14,$0.51,70.87
2016-06-30,41.0,$1.57,26.11
2016-03-31,43.94,$1.56,28.17
2015-12-31,51.26,$1.66,30.88
2015-09-30,38.18,$1.75,21.82
2015-06-30,64.34,$2.18,29.51
2015-03-31,56.27,$2.18,25.81
2014-12-31,53.44,$2.34,22.84
2014-09-30,43.13,$2.32,18.59
2014-06-30,48.88,$1.46,33.48
2014-03-31,46.3,$1.60,28.93
2013-12-31,41.15,$1.58,26.04
2013-09-30,36.19,$1.52,23.81
2013-06-30,29.42,$1.63,18.05
2013-03-31,27.45,$1.50,18.3
2012-12-31,26.03,$1.53,17.01
2012-09-30,23.11,$1.44,16.05
2012-06-30,20.26,$1.29,15.71
2012-03-31,22.23,$1.29,17.23
2011-12-31,20.35,$1.22,16.68
2011-09-30,16.11,$0.93,17.32
2011-06-30,23.39,$0.90,25.99
2011-03-31,21.48,$0.73,29.43
2010-12-31,20.03,$0.70,28.62
2010-09-30,17.83,$0.70,25.48
2010-06-30,16.16,$0.24,67.32
2010-03-31,21.53,$0.27,79.75
2009-12-31,17.47,$0.23,75.97
