Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,111.01,,20.33
2024-06-30,96.7,$5.46,17.71
2024-03-31,133.31,$5.04,26.45
2023-12-31,126.42,$3.78,33.45
2023-09-30,114.64,$3.34,34.32
2023-06-30,97.68,$3.00,32.56
2023-03-31,104.09,$-0.47,0.0
2022-12-31,97.99,$0.44,222.71
2022-09-30,106.33,$0.22,483.3
2022-06-30,108.67,$0.18,603.71
2022-03-31,134.13,$3.49,38.43
2021-12-31,132.24,$3.28,40.32
2021-09-30,153.85,$3.17,48.53
2021-06-30,182.84,$2.90,63.05
2021-03-31,196.32,$2.13,92.17
2020-12-31,209.61,$1.81,115.81
2020-09-30,172.62,$1.74,99.2
2020-06-30,164.69,$1.77,93.04
2019-12-31,176.84,$2.36,74.93
2019-09-30,153.84,$2.49,61.78
2019-06-30,154.93,$2.43,63.76
2019-03-31,132.08,$2.77,47.68
2018-12-31,99.77,$2.74,36.41
2020-03-31,139.88,$2.84,49.25
2018-09-30,123.23,$3.87,31.84
2018-06-30,107.83,$3.47,31.08
2018-03-31,107.85,$3.23,33.39
2017-12-31,96.94,$2.98,32.53
2017-09-30,91.89,$1.79,51.33
2017-06-30,87.33,$1.08,80.86
2017-03-31,77.99,$1.19,65.54
2016-12-31,67.09,$0.87,77.12
2016-11-30,66.26,$0.55,120.47
2016-09-30,74.19,$0.55,134.88
2016-08-31,73.4,0,0.0
2016-02-29,58.89,0,0.0
2015-11-30,68.44,0,0.0
2015-08-31,53.79,0,0.0
2015-05-31,50.4,0,0.0
2015-02-28,44.35,0,0.0
2014-11-30,41.68,0,0.0
2014-08-31,35.09,0,0.0
2014-05-31,33.07,0,0.0
2014-02-28,33.92,0,0.0
2013-11-30,30.4,0,0.0
2013-08-31,22.97,0,0.0
2013-05-31,23.11,0,0.0
2013-02-28,23.22,0,0.0
2012-11-30,21.14,0,0.0
2012-08-31,20.04,0,0.0
2012-05-31,20.43,0,0.0
2012-02-29,24.81,0,0.0
2011-11-30,21.25,0,0.0
2011-08-31,22.01,0,0.0
2011-05-31,24.94,0,0.0
2011-02-28,23.03,0,0.0
2010-11-30,19.94,0,0.0
2010-08-31,18.04,0,0.0
2010-05-31,20.22,0,0.0
2010-02-28,20.5,0,0.0
2009-11-30,24.54,0,0.0
2009-08-31,20.31,$0.26,78.12
2009-05-31,17.2,$0.26,66.16
2009-02-28,14.67,$0.79,18.57
