Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,125.2,,34.4
2024-06-30,109.11,$3.64,29.98
2024-03-31,97.48,$4.08,23.89
2023-12-31,97.33,$3.70,26.31
2023-09-30,91.81,$2.09,43.93
2023-06-30,104.58,$1.92,54.47
2023-03-31,99.79,$5.62,17.76
2022-12-31,105.46,$5.99,17.61
2022-09-30,111.69,$7.59,14.71
2022-06-30,124.75,$7.61,16.39
2022-03-31,153.1,$3.37,45.43
2021-12-31,163.68,$2.92,56.06
2021-09-30,134.46,$1.19,112.99
2021-06-30,120.3,$1.25,96.24
2021-03-31,99.05,$1.12,88.44
2020-12-31,89.27,$1.24,72.0
2020-09-30,78.83,$1.90,41.49
2020-06-30,80.07,$1.99,40.24
2020-03-31,68.92,$2.25,30.63
2019-12-31,91.37,$2.22,41.16
2019-09-30,94.88,$1.68,56.48
2019-06-30,88.58,$1.64,54.01
2019-03-31,85.47,$1.61,53.09
2018-12-31,73.57,$1.62,45.41
2018-09-30,77.53,$2.12,36.57
2018-06-30,74.87,$2.10,35.65
2018-03-31,68.58,$2.13,32.2
2017-12-31,74.32,$2.10,35.39
2017-09-30,73.23,$1.64,44.65
2017-06-30,67.92,$4.47,15.19
2017-03-31,63.36,$8.96,7.07
2016-12-31,65.59,$9.04,7.26
2016-09-30,64.72,$9.26,6.99
2016-06-30,64.49,$6.46,9.98
2016-03-31,60.8,$1.94,31.34
2015-12-31,55.01,$2.75,20.0
2015-09-30,52.47,$4.06,12.92
2015-06-30,52.22,$4.08,12.8
2015-03-31,54.42,$4.08,13.34
2014-12-31,50.97,$3.26,15.64
2014-09-30,46.88,$2.74,17.11
2014-06-30,48.2,$3.11,15.5
2014-03-31,45.2,$3.52,12.84
2013-12-31,37.8,$3.79,9.97
2013-09-30,40.38,$3.93,10.28
2013-06-30,45.0,$3.48,12.93
2013-03-31,44.29,$2.93,15.12
2012-12-31,43.59,$3.28,13.29
2012-09-30,40.87,$2.30,17.77
2012-06-30,42.51,$2.11,20.15
2012-03-31,40.96,$1.62,25.28
2011-12-31,38.43,$0.65,59.13
2011-09-30,33.84,$0.27,125.33
2011-06-30,38.62,$0.13,297.05
2011-03-31,34.22,$0.39,87.75
2010-12-31,32.23,$0.32,100.72
2010-09-30,28.39,$-1.12,0.0
2010-06-30,23.95,$-1.08,0.0
2010-03-31,24.16,$-0.81,0.0
2009-12-31,24.33,$-0.73,0.0
