Otis Worldwide PE Ratio Historical Data,Otis Worldwide PE Ratio Historical Data,Otis Worldwide PE Ratio Historical Data,Otis Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,94.69,,26.45
2024-06-30,96.26,$3.58,26.89
2024-03-31,99.27,$3.46,28.69
2023-12-31,89.47,$3.39,26.39
2023-09-30,80.31,$3.31,24.26
2023-06-30,89.01,$3.17,28.08
2023-03-31,84.4,$3.03,27.85
2022-12-31,78.31,$2.97,26.37
2022-09-30,63.8,$2.91,21.92
2022-06-30,70.42,$2.91,24.2
2022-03-31,76.37,$2.91,26.24
2021-12-31,86.14,$2.89,29.81
2021-09-30,81.18,$2.82,28.79
2021-06-30,80.46,$2.66,30.25
2021-03-31,67.14,$2.42,27.75
