PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,185.09,,15.5
2024-06-30,154.02,$11.94,12.9
2024-03-31,158.45,$11.91,13.3
2023-12-31,150.27,$12.79,11.75
2023-09-30,117.6,$14.41,8.16
2023-06-30,119.17,$14.59,8.17
2023-03-31,118.84,$14.62,8.13
2022-12-31,146.33,$13.87,10.55
2022-09-30,137.07,$13.26,10.34
2022-06-30,143.36,$12.78,11.22
2022-03-31,166.21,$11.82,14.06
2021-12-31,179.68,$11.85,15.16
2021-09-30,174.24,$12.38,14.07
2021-06-30,168.78,$17.48,9.66
2020-12-31,130.0,$17.00,7.65
2020-09-30,94.9,$16.71,5.68
2020-06-30,89.86,$17.42,5.16
2020-03-31,80.75,$11.96,6.75
2019-12-31,133.65,$12.89,10.37
2021-03-31,154.18,$12.53,12.3
2019-09-30,116.41,$11.18,10.41
2019-06-30,113.08,$11.06,10.22
2019-03-31,100.31,$10.90,9.2
2018-12-31,94.86,$10.72,8.85
2018-09-30,109.67,$12.15,9.03
2018-06-30,108.06,$11.49,9.41
2018-03-31,120.35,$10.87,11.07
2017-12-31,114.26,$10.40,10.99
2017-09-30,106.13,$8.19,12.96
2017-06-30,97.76,$7.87,12.42
2017-03-31,93.69,$7.59,12.34
2016-12-31,90.71,$7.31,12.41
2016-09-30,69.44,$7.21,9.63
2016-06-30,62.32,$7.27,8.57
2016-03-31,64.37,$7.33,8.78
2015-12-31,72.12,$7.40,9.75
2015-09-30,67.11,$7.37,9.11
2015-06-30,71.59,$7.26,9.86
2015-03-31,69.4,$7.23,9.6
2014-12-31,67.52,$7.33,9.21
2014-09-30,62.97,$7.28,8.65
2014-06-30,65.17,$7.48,8.71
2013-12-31,56.12,$7.39,7.59
2013-09-30,52.09,$6.78,7.68
2013-06-30,52.12,$6.63,7.86
2013-03-31,47.22,$5.63,8.39
2012-12-31,41.13,$5.32,7.73
2012-09-30,44.22,$4.93,8.97
2012-06-30,42.55,$4.84,8.79
2012-03-31,44.62,$5.52,8.08
2011-12-31,39.67,$5.89,6.74
2011-09-30,32.92,$6.61,4.98
2011-06-30,40.47,$6.58,6.15
2014-03-31,63.29,$6.99,9.05
2011-03-31,42.52,$6.64,6.4
2010-12-31,40.93,$5.73,7.14
2010-09-30,34.92,$6.38,5.47
2010-06-30,37.95,$5.30,7.16
2010-03-31,40.04,$3.97,10.08
2009-12-31,35.34,$4.34,8.14
