Axon Enterprise PE Ratio Historical Data,Axon Enterprise PE Ratio Historical Data,Axon Enterprise PE Ratio Historical Data,Axon Enterprise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,364.97,,96.3
2024-06-30,294.24,$3.79,77.64
2024-03-31,312.88,$3.42,91.49
2023-12-31,258.33,$2.30,112.32
2023-09-30,198.99,$1.95,102.05
2023-06-30,195.12,$1.34,145.61
2023-03-31,224.85,$1.89,118.97
2022-12-31,165.93,$2.04,81.34
2022-09-30,115.75,$1.45,79.83
2022-06-30,93.17,$1.95,47.78
2022-03-31,137.73,$0.52,264.87
2021-12-31,157.0,$-0.99,0.0
2021-09-30,175.02,$-0.40,0.0
2021-06-30,176.8,$-1.08,0.0
2021-03-31,142.42,$-0.87,0.0
2020-12-31,122.53,$-0.05,0.0
2020-09-30,90.7,$-0.66,0.0
2020-06-30,98.13,$-0.55,0.0
2020-03-31,70.77,$-0.03,0.0
2019-12-31,73.28,$0.01,7328.0
2019-09-30,56.78,$0.25,227.12
2019-06-30,64.21,$0.25,256.84
2019-03-31,54.41,$0.39,139.51
2018-12-31,43.75,$0.52,84.13
2018-09-30,68.43,$0.45,152.07
2018-06-30,63.18,$0.36,175.5
2018-03-31,39.31,$0.25,157.24
2017-12-31,26.5,$0.10,265.0
2017-09-30,22.67,$0.26,87.19
2017-06-30,25.14,$0.32,78.56
2017-03-31,22.79,$0.35,65.11
2016-12-31,24.24,$0.32,75.75
2016-09-30,28.61,$0.29,98.66
2016-06-30,24.88,$0.25,99.52
2016-03-31,19.63,$0.29,67.69
2015-12-31,17.29,$0.36,48.03
2015-09-30,22.03,$0.36,61.18
2015-06-30,33.31,$0.47,70.87
2015-03-31,24.11,$0.43,56.07
2014-12-31,26.48,$0.36,73.56
2014-09-30,15.44,$0.40,38.6
2014-06-30,13.3,$0.36,36.94
2014-03-31,18.29,$0.37,49.43
2013-12-31,15.88,$0.37,42.92
2013-09-30,14.88,$0.31,48.0
2013-06-30,8.52,$0.28,30.43
2013-03-31,7.95,$0.26,30.58
2012-12-31,8.94,$0.27,33.11
2012-09-30,6.04,$0.09,67.06
2012-06-30,5.24,$0.04,131.0
2012-03-31,4.34,$-0.06,0.0
2011-12-31,5.12,$-0.13,0.0
2011-09-30,4.31,$-0.02,0.0
2011-06-30,4.55,$-0.08,0.0
2011-03-31,4.06,$-0.06,0.0
2010-12-31,4.7,$-0.07,0.0
2010-09-30,3.88,$0.00,0.0
2010-06-30,3.9,$-0.01,0.0
2010-03-31,5.87,$0.00,0.0
2009-12-31,4.38,0,0.0
