Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,10.47,,0.0
2024-06-30,10.39,$-7.79,0.0
2024-03-31,11.71,$-0.15,0.0
2023-12-31,14.65,$-1.02,0.0
2023-09-30,12.74,$-1.78,0.0
2023-06-30,15.66,$-1.88,0.0
2023-03-31,21.89,$-0.78,0.0
2022-12-31,16.36,$1.60,10.23
2022-09-30,18.23,$4.70,3.88
2022-06-30,23.37,$5.17,4.52
2022-03-31,35.47,$6.11,5.81
2021-12-31,28.12,$6.91,4.07
2021-09-30,36.52,$5.11,7.15
2021-06-30,41.53,$5.31,7.82
2021-03-31,41.2,$4.53,9.1
2020-12-31,33.95,$3.93,8.64
2020-09-30,25.35,$2.20,11.52
2020-06-30,20.94,$2.05,10.21
2020-03-31,12.45,$2.44,5.1
2019-12-31,36.75,$5.81,6.33
2019-09-30,35.15,$7.72,4.55
2019-06-30,43.27,$8.16,5.3
2019-03-31,41.06,$8.04,5.11
2018-12-31,37.63,$5.15,7.31
2018-09-30,49.27,$3.56,13.84
2018-06-30,48.06,$3.73,12.89
2018-03-31,43.78,$2.82,15.52
2017-12-31,50.09,$0.89,56.28
2017-09-30,49.09,$0.73,67.24
2017-06-30,53.82,$0.34,158.29
2017-03-31,58.36,$1.13,51.64
2016-12-31,53.39,$2.76,19.34
2016-09-30,45.8,$3.57,12.83
2016-06-30,45.4,$3.38,13.43
2016-03-31,45.81,$3.12,14.68
2015-12-31,39.08,$2.88,13.57
2015-09-30,32.98,$3.12,10.57
2015-06-30,45.72,$5.27,8.68
2015-03-31,49.82,$5.36,9.3
2014-12-31,45.36,$5.36,8.46
2014-09-30,43.73,$5.33,8.2
2014-06-30,50.66,$3.10,16.34
2014-03-31,50.29,$3.10,16.22
2013-12-31,51.77,$3.01,17.2
2013-09-30,44.71,$2.85,15.69
2013-06-30,39.53,$2.65,14.92
2013-03-31,37.67,$2.54,14.83
2012-12-31,30.62,$2.39,12.81
2012-09-30,29.14,$2.34,12.45
2012-06-30,26.2,$2.24,11.7
2012-03-31,27.02,$2.17,12.45
2011-12-31,21.56,$1.92,11.23
2011-09-30,16.13,$1.78,9.06
2011-06-30,22.45,$1.74,12.9
2011-03-31,19.66,$1.38,14.24
2010-12-31,14.92,$1.05,14.21
2010-09-30,12.39,$0.73,16.97
2010-06-30,10.07,$0.57,17.66
2010-03-31,10.81,$0.37,29.22
2009-12-31,10.86,$0.33,32.91
