Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,130.6,,7.43
2024-06-30,134.22,$17.57,7.64
2024-03-31,170.23,$18.17,9.37
2023-12-31,153.19,$17.90,8.56
2023-09-30,123.0,$18.56,6.63
2023-06-30,112.85,$11.62,9.71
2023-03-31,105.42,$13.59,7.76
2022-12-31,98.4,$17.37,5.66
2022-09-30,86.32,$15.13,5.71
2022-06-30,111.7,$17.94,6.23
2022-03-31,135.04,$18.73,7.21
2021-12-31,158.1,$16.94,9.33
2021-09-30,141.12,$24.65,5.73
2021-06-30,141.39,$21.84,6.47
2021-03-31,139.12,$17.97,7.74
2020-12-31,120.04,$16.97,7.07
2020-09-30,98.73,$4.83,20.44
2020-06-30,78.81,$5.21,15.13
2020-03-31,66.47,$5.97,11.13
2019-12-31,110.88,$6.78,16.35
2019-09-30,109.58,$7.17,15.28
2019-06-30,96.06,$8.00,12.01
2019-03-31,87.37,$8.86,9.86
2018-12-31,79.29,$8.89,8.92
2018-09-30,100.47,$9.63,10.43
2018-06-30,97.43,$8.32,11.71
2018-03-31,87.48,$7.46,11.73
2017-12-31,93.05,$6.10,15.25
2017-09-30,90.22,$5.73,15.74
2017-06-30,81.75,$5.89,13.88
2017-03-31,76.96,$5.73,13.43
2016-12-31,67.17,$6.16,10.9
2016-09-30,56.5,$3.01,18.77
2016-06-30,55.26,$2.27,24.34
2016-03-31,55.02,$2.10,26.2
2015-12-31,56.25,$1.90,29.61
2015-09-30,49.23,$3.38,14.56
2015-06-30,59.53,$3.94,15.11
2015-03-31,46.05,$4.27,10.79
2014-12-31,49.22,$3.99,12.34
2014-09-30,47.83,$8.69,5.5
2014-06-30,52.32,$8.14,6.43
2014-03-31,44.99,$7.31,6.16
2013-12-31,44.68,$6.95,6.43
2013-09-30,42.51,$3.39,12.54
2013-06-30,35.94,$3.04,11.82
2013-03-31,35.27,$3.52,10.02
2012-12-31,35.6,$3.78,9.42
2012-09-30,30.25,$3.79,7.98
2012-06-30,27.57,$4.11,6.71
2012-03-31,36.73,$4.08,9.0
2011-12-31,35.16,$3.83,9.18
2011-09-30,25.8,$3.58,7.21
2011-06-30,42.23,$3.45,12.24
2011-03-31,35.11,$3.18,11.04
2010-12-31,32.54,$2.38,13.67
2010-09-30,25.33,$2.05,12.36
2010-06-30,19.62,$3.66,5.36
2010-03-31,25.06,$3.31,7.57
2009-12-31,25.23,$3.05,8.27
