Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,61.92,,9.13
2024-05-31,87.74,$6.78,12.94
2024-02-29,101.14,$7.10,14.24
2023-11-30,98.64,$6.80,14.51
2023-05-31,109.03,$6.92,15.76
2023-02-28,98.43,$3.74,26.32
2022-11-30,84.75,$4.13,20.52
2022-08-31,77.34,$4.15,18.64
2022-05-31,65.52,$2.77,23.65
2023-08-31,95.77,$2.75,34.83
2022-02-28,64.15,$1.59,40.35
2021-11-30,49.95,$1.31,38.13
2021-08-31,62.42,$1.75,35.67
2021-05-31,78.74,$2.16,36.45
2021-02-28,75.92,$1.71,44.4
2020-11-30,68.68,$2.02,34.0
2020-08-31,59.44,$2.31,25.73
2020-05-31,56.59,$2.49,22.73
2020-02-29,81.53,$3.25,25.09
2019-11-30,78.61,$3.44,22.85
2019-08-31,65.72,$3.23,20.35
2019-05-31,55.15,$3.17,17.4
2019-02-28,64.32,$3.10,20.75
2018-11-30,70.98,$3.21,22.11
2018-08-31,62.41,$2.99,20.87
2018-05-31,58.69,$2.82,20.81
2018-02-28,49.65,$2.65,18.74
2017-11-30,49.74,$2.16,23.03
2017-08-31,41.46,$2.23,18.59
