Generac Holdings PE Ratio Historical Data,Generac Holdings PE Ratio Historical Data,Generac Holdings PE Ratio Historical Data,Generac Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,156.53,,40.14
2024-06-30,132.22,$3.90,33.9
2024-03-31,126.14,$3.63,34.75
2023-12-31,129.24,$3.29,39.28
2023-09-30,108.96,$2.55,42.73
2023-06-30,149.13,$2.41,61.88
2023-03-31,108.01,$3.92,27.55
2022-12-31,100.66,$5.44,18.5
2022-09-30,178.14,$6.65,26.79
2022-06-30,210.58,$7.75,27.17
2022-03-31,297.26,$7.55,39.37
2021-12-31,351.92,$8.31,42.35
2021-09-30,408.67,$8.24,49.6
2021-06-30,415.15,$8.13,51.06
2021-03-31,327.45,$7.14,45.86
2020-12-31,227.41,$5.49,41.42
2020-09-30,193.64,$4.64,41.73
2020-06-30,121.93,$4.00,30.48
2020-03-31,93.17,$3.96,23.53
2019-12-31,100.59,$4.04,24.9
2019-09-30,78.34,$4.12,19.01
2019-06-30,69.41,$4.05,17.14
2019-03-31,51.23,$3.89,13.17
2018-12-31,49.7,$3.55,14.0
2018-09-30,56.41,$3.65,15.45
2018-06-30,51.73,$3.18,16.27
2018-03-31,45.91,$2.77,16.57
2017-12-31,49.52,$2.56,19.34
2017-09-30,45.93,$1.90,24.17
2017-06-30,36.13,$1.66,21.77
2017-03-31,37.28,$1.56,23.9
2016-12-31,40.74,$1.50,27.16
2016-09-30,36.3,$1.00,36.3
2016-06-30,34.96,$1.09,32.07
2016-03-31,37.24,$0.99,37.62
2015-12-31,29.77,$1.12,26.58
2015-09-30,30.09,$1.68,17.91
2015-06-30,39.75,$1.71,23.25
2015-03-31,48.69,$2.27,21.45
2014-12-31,46.76,$2.49,18.78
2014-09-30,40.54,$2.48,16.35
2014-06-30,48.74,$2.63,18.53
2014-03-31,58.97,$2.26,26.09
2013-12-31,56.64,$2.49,22.75
2013-09-30,42.64,$2.21,19.29
2013-06-30,37.01,$1.91,19.38
2013-03-31,31.08,$1.65,18.83
2012-12-31,30.17,$1.36,22.18
2012-09-30,20.13,$4.86,4.14
2012-06-30,16.42,$5.04,3.26
2012-03-31,16.75,$5.13,3.27
2011-12-31,19.12,$4.76,4.02
2011-09-30,12.83,$1.13,11.36
2011-06-30,13.24,$0.92,14.39
2011-03-31,13.84,$0.88,15.73
2010-12-31,11.03,$-3.45,0.0
