Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,137.03,,11.2
2024-06-30,118.1,$12.23,9.66
2023-12-31,102.03,$11.67,8.74
2023-09-30,100.14,$10.57,9.47
2023-06-30,94.61,$8.56,11.05
2023-03-31,108.15,$0.12,901.27
2022-12-31,98.14,$-3.00,0.0
2022-09-30,85.28,$-0.36,0.0
2022-06-30,112.51,$3.22,34.94
2022-03-31,127.78,$12.59,10.15
2021-12-31,106.52,$18.11,5.88
2021-09-30,106.21,$15.54,6.83
2021-06-30,107.87,$17.59,6.13
2021-03-31,94.86,$18.91,5.02
2020-12-31,79.92,$7.53,10.61
2020-09-30,70.8,$4.85,14.6
2020-06-30,57.68,$3.35,17.22
2020-03-31,67.33,$0.31,217.21
2019-12-31,93.18,$12.09,7.71
2019-09-30,102.83,$5.52,18.63
2019-06-30,90.93,$7.41,12.27
2019-03-31,74.94,$6.14,12.21
2018-12-31,67.1,$1.73,38.78
2018-09-30,66.11,$9.29,7.12
2018-06-30,57.16,$9.79,5.84
2018-03-31,63.0,$9.08,6.94
2024-03-31,123.29,$9.87,12.49
2017-12-31,63.16,$6.30,10.03
2017-09-30,63.64,$3.02,21.07
2017-06-30,59.82,$3.49,17.14
2017-03-31,59.27,$3.63,16.33
2016-12-31,61.71,$3.55,17.38
2016-09-30,61.06,$3.89,15.7
2016-06-30,60.24,$3.86,15.61
2016-03-31,52.22,$4.18,12.49
2015-12-31,46.92,$3.82,12.28
2015-09-30,42.02,$3.90,10.77
2015-06-30,38.86,$3.96,9.81
2015-03-31,40.88,$3.41,11.99
2014-12-31,39.43,$3.20,12.32
2014-09-30,35.48,$2.92,12.15
2014-06-30,35.9,$2.60,13.81
2014-03-31,36.04,$2.75,13.1
2013-12-31,38.42,$3.13,12.28
2013-09-30,34.32,$3.56,9.64
2013-06-30,33.12,$3.45,9.6
2013-03-31,33.76,$2.99,11.29
2012-12-31,27.75,$2.58,10.76
2012-09-30,26.57,$2.24,11.86
2012-06-30,26.43,$1.68,15.74
2012-03-31,23.7,$1.18,20.09
2011-12-31,20.68,$1.03,20.08
2011-09-30,17.64,$0.97,18.18
2011-06-30,19.26,$1.80,10.7
2011-03-31,21.34,$2.27,9.4
2010-12-31,20.38,$2.31,8.82
2010-09-30,18.3,$3.04,6.02
2010-06-30,16.2,$3.14,5.16
2010-03-31,17.85,$2.85,6.26
2009-12-31,15.98,$2.65,6.03
