Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,32.55,,23.25
2024-04-30,35.23,$1.40,25.17
2024-01-31,29.84,$1.46,20.44
2023-10-31,31.7,$1.46,21.72
2023-07-31,39.48,$1.61,24.52
2023-04-30,38.79,$1.71,22.68
2023-01-31,43.16,$1.79,24.11
2022-10-31,43.98,$1.83,24.03
2022-07-31,46.45,$1.83,25.38
2022-04-30,49.05,$1.75,28.03
2022-01-31,44.23,$1.69,26.17
2021-10-31,39.22,$1.66,23.63
2021-07-31,42.74,$1.58,27.05
2021-04-30,42.35,$1.63,25.98
2021-01-31,42.73,$1.63,26.22
2020-10-31,44.16,$1.67,26.44
2020-07-31,45.91,$1.71,26.85
2020-04-30,42.09,$1.71,24.62
2020-01-31,42.25,$1.81,23.34
2019-10-31,36.37,$1.80,20.21
2019-07-31,36.27,$1.81,20.04
2019-04-30,35.16,$1.83,19.21
2019-01-31,37.07,$1.75,21.18
2018-10-31,38.04,$1.87,20.34
2018-07-31,31.21,$1.80,17.34
2018-04-30,31.3,$1.75,17.89
2018-01-31,29.48,$1.70,17.34
2017-10-31,26.62,$1.58,16.85
2017-07-31,29.03,$1.62,17.92
2017-04-30,29.65,$1.64,18.08
2017-01-31,30.52,$1.65,18.5
2016-10-31,32.22,$1.64,19.65
2016-07-31,31.14,$1.54,20.28
2016-04-30,32.01,$1.45,22.15
2016-01-31,33.26,$1.38,24.1
2015-10-31,27.84,$1.27,21.92
2015-07-31,24.31,$1.24,19.6
2015-04-30,22.22,$1.23,18.14
2015-01-31,20.85,$1.15,18.13
2014-10-31,21.84,$1.12,19.58
2014-07-31,18.26,$1.09,16.75
2014-04-30,19.16,$1.05,18.33
2014-01-31,18.18,$1.02,17.91
2013-10-31,17.31,$0.97,17.85
2013-07-31,16.8,$0.93,18.17
2013-04-30,16.31,$0.92,17.73
2013-01-31,13.62,$0.93,14.64
2012-10-31,11.51,$0.91,12.71
2012-07-31,10.82,$0.84,12.88
2012-04-30,11.21,$0.84,13.42
2011-10-31,11.25,$0.87,12.93
2011-07-31,11.01,$0.88,12.51
2011-04-30,11.13,$0.94,11.84
2011-01-31,9.3,$0.90,10.37
2010-10-31,8.6,$0.77,11.25
2012-01-31,11.04,$0.75,14.82
2010-07-31,8.0,$0.70,11.48
2010-04-30,7.56,$0.68,11.08
2010-01-31,7.15,$0.69,10.39
2009-10-31,6.7,$0.63,10.59
