Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,43.05,,16.43
2024-06-30,35.68,$2.62,13.62
2024-03-31,35.5,$2.76,12.86
2023-12-31,32.03,$3.11,10.3
2023-09-30,25.44,$4.02,6.33
2023-06-30,24.43,$4.40,5.55
2023-03-31,28.01,$4.15,6.75
2022-12-31,35.95,$4.08,8.81
2022-09-30,31.06,$4.00,7.76
2022-06-30,31.9,$3.95,8.08
2022-03-31,40.12,$4.72,8.5
2021-12-31,41.51,$5.16,8.04
2021-09-30,40.94,$4.98,8.22
2021-06-30,39.61,$4.48,8.84
2021-03-31,37.81,$3.57,10.59
2020-12-31,30.31,$3.18,9.53
2020-09-30,21.12,$3.16,6.68
2020-06-30,20.75,$3.43,6.05
2019-12-31,32.48,$3.82,8.5
2019-09-30,28.01,$3.80,7.37
2019-06-30,27.73,$2.86,9.7
2019-03-31,25.27,$2.82,8.96
2018-12-31,22.9,$2.78,8.24
2020-03-31,15.2,$2.60,5.85
2018-09-30,29.49,$3.92,7.52
2018-06-30,29.54,$3.69,8.01
2018-03-31,31.71,$3.44,9.22
2017-12-31,31.56,$3.27,9.65
2017-09-30,28.34,$2.47,11.47
2017-06-30,26.56,$2.35,11.3
2017-03-31,25.62,$2.18,11.75
2016-12-31,26.32,$1.98,13.29
2016-09-30,18.17,$1.85,9.82
2016-06-30,14.61,$1.69,8.65
2016-03-31,15.25,$1.58,9.65
2015-12-31,18.96,$1.55,12.24
2015-09-30,17.21,$1.49,11.55
2015-06-30,19.62,$1.43,13.72
