Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data,Allstate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,188.94,,17.25
2024-06-30,158.89,$10.95,14.51
2024-03-31,172.17,$4.53,38.01
2023-12-31,138.48,$-1.24,0.0
2023-09-30,109.5,$-7.93,0.0
2023-06-30,106.3,$-10.35,0.0
2023-03-31,107.15,$-8.87,0.0
2022-12-31,130.23,$-5.32,0.0
2022-09-30,118.84,$-1.42,0.0
2022-06-30,120.1,$2.87,41.85
2022-03-31,130.44,$11.94,10.92
2021-12-31,110.04,$5.10,21.58
2021-09-30,118.23,$10.82,10.93
2021-06-30,120.41,$12.69,9.49
2021-03-31,105.44,$11.29,9.34
2020-12-31,100.15,$17.48,5.73
2020-09-30,85.32,$14.26,5.98
2020-06-30,87.41,$13.35,6.55
2020-03-31,82.21,$11.93,6.89
2019-12-31,100.27,$14.08,7.12
2019-09-30,96.48,$7.94,12.15
2019-06-30,89.83,$7.64,11.76
2019-03-31,82.77,$7.00,11.82
2018-12-31,72.23,$5.89,12.26
2018-09-30,86.28,$10.15,8.5
2018-06-30,79.42,$9.52,8.34
2018-03-31,82.09,$9.21,8.91
2017-12-31,90.22,$8.37,10.78
2017-09-30,78.9,$7.20,10.96
2017-06-30,75.62,$6.77,11.17
2017-03-31,69.38,$5.92,11.72
2016-12-31,62.82,$5.31,11.83
2016-09-30,58.36,$4.67,12.5
2016-06-30,58.73,$4.15,14.15
2015-12-31,51.61,$5.04,10.24
2015-09-30,48.18,$5.72,8.42
2015-06-30,53.39,$4.75,11.24
2015-03-31,58.32,$5.70,10.23
2014-12-31,57.33,$5.56,10.31
2016-03-31,56.29,$5.00,11.26
2014-09-30,49.87,$6.19,8.06
2014-06-30,47.5,$5.11,9.3
2014-03-31,45.55,$4.64,9.82
2013-12-31,43.68,$4.81,9.08
2013-09-30,40.3,$3.86,10.44
2013-06-30,38.17,$4.68,8.16
2013-03-31,38.72,$4.62,8.38
2012-12-31,31.52,$4.68,6.74
2012-09-30,30.92,$5.30,5.83
2012-06-30,27.23,$4.14,6.58
2012-03-31,25.38,$2.09,12.14
2011-12-31,20.98,$1.53,13.72
2011-09-30,17.99,$0.65,27.67
2011-06-30,23.0,$1.01,22.77
2011-03-31,23.78,$2.47,9.63
2010-12-31,23.7,$1.72,13.78
2010-09-30,23.29,$2.13,10.94
2010-06-30,21.06,$1.86,11.32
2010-03-31,23.53,$2.31,10.18
2009-12-31,21.74,$1.58,13.76
