Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,341.95,,31.31
2024-05-31,281.07,$10.92,25.74
2024-02-29,371.69,$11.03,33.7
2023-11-30,329.19,$10.79,30.51
2023-08-31,318.62,$10.77,29.58
2023-05-31,299.98,$11.22,26.74
2023-02-28,259.37,$10.86,23.88
2022-11-30,292.76,$11.01,26.59
2022-08-31,279.38,$10.71,26.09
2022-05-31,288.04,$10.31,27.94
2022-02-28,304.08,$9.92,30.65
2021-11-30,343.01,$9.61,35.69
2021-08-31,322.06,$9.15,35.2
2021-05-31,269.25,$8.94,30.12
2021-02-28,238.68,$8.44,28.28
2020-11-30,236.15,$8.12,29.08
2020-08-31,226.6,$7.89,28.72
2020-05-31,189.73,$7.64,24.83
2020-02-29,169.14,$7.67,22.05
2019-11-30,187.68,$7.49,25.06
2019-08-31,184.1,$7.36,25.01
2019-05-31,165.43,$7.20,22.98
2019-02-28,148.7,$6.87,21.64
2018-11-30,151.59,$6.51,23.29
2018-08-31,154.36,$6.34,24.35
2018-05-31,142.19,$6.24,22.79
2018-02-28,145.7,$5.69,25.61
2017-11-30,133.93,$5.65,23.71
2017-08-31,117.19,$5.44,21.54
2017-05-31,111.55,$5.64,19.78
2017-02-28,108.66,$6.00,18.11
2016-11-30,105.93,$6.75,15.69
2016-08-31,100.96,$6.45,15.65
2016-05-31,104.44,$5.92,17.64
2016-02-29,87.18,$5.75,15.16
2015-11-30,93.24,$4.75,19.63
2015-08-31,81.1,$4.76,17.04
2015-05-31,82.63,$4.69,17.62
2015-02-28,76.63,$4.71,16.27
2014-11-30,73.48,$4.66,15.77
2014-08-31,68.08,$4.52,15.06
2014-05-31,68.41,$4.45,15.37
2014-02-28,69.19,$4.40,15.72
2013-11-30,64.31,$5.02,12.81
2013-08-31,59.19,$4.93,12.01
2013-05-31,67.27,$4.80,14.01
2013-02-28,60.28,$4.62,13.05
2012-11-30,55.06,$3.94,13.98
2012-08-31,49.36,$3.84,12.86
2012-05-31,45.76,$3.87,11.82
2012-02-29,47.21,$3.77,12.52
2011-11-30,45.94,$3.55,12.94
2011-08-31,42.0,$3.40,12.35
2011-05-31,44.98,$3.15,14.28
2011-02-28,40.03,$2.95,13.57
2010-11-30,33.68,$2.80,12.03
2010-08-31,28.18,$2.66,10.59
2010-05-31,28.89,$2.39,12.09
2010-02-28,30.51,$2.34,13.04
2009-11-30,31.32,$2.37,13.22
