Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,306.93,,33.77
2024-06-30,312.47,$9.09,34.38
2024-03-31,310.69,$8.47,36.68
2023-12-31,238.54,$8.02,29.74
2023-09-30,210.42,$7.47,28.17
2023-06-30,197.61,$6.77,29.19
2023-03-31,167.53,$6.41,26.14
2022-12-31,152.72,$6.15,24.83
2022-09-30,129.09,$5.72,22.57
2022-06-30,121.3,$5.77,21.02
2022-03-31,145.28,$5.53,26.27
2021-12-31,164.54,$5.34,30.81
2021-09-30,141.53,$5.15,27.48
2021-06-30,139.83,$4.69,29.81
2021-03-31,129.81,$3.56,36.46
2020-12-31,112.17,$3.49,32.14
2020-09-30,94.63,$3.40,27.83
2020-06-30,80.56,$3.73,21.6
2020-03-31,70.84,$5.10,13.89
2019-12-31,85.55,$5.26,16.26
2019-09-30,74.49,$5.63,13.23
2019-06-30,73.95,$5.14,14.39
2019-03-31,70.92,$5.03,14.1
2018-12-31,59.91,$5.23,11.45
2018-09-30,75.01,$6.91,10.85
2018-06-30,64.12,$7.11,9.02
2017-12-31,66.64,$6.68,9.98
2017-09-30,64.28,$6.37,10.09
2017-06-30,64.63,$4.33,14.93
2017-03-31,61.09,$4.33,14.11
2016-12-31,54.82,$4.44,12.35
2018-03-31,67.94,$4.20,16.18
2016-09-30,53.19,$4.25,12.51
2016-06-30,47.92,$4.06,11.8
2016-03-31,49.73,$4.13,12.04
2015-12-31,40.96,$4.24,9.66
2015-09-30,39.99,$4.32,9.26
2015-06-30,52.15,$4.62,11.29
2015-03-31,52.08,$3.84,13.56
2014-12-31,51.68,$3.77,13.71
2014-09-30,47.84,$3.54,13.52
2014-06-30,57.85,$3.35,17.27
2014-03-31,55.94,$4.03,13.88
2013-12-31,56.31,$3.90,14.44
2013-09-30,50.63,$3.36,15.07
2013-06-30,48.11,$3.31,14.53
2013-03-31,44.46,$3.39,13.12
2012-12-31,39.06,$3.51,11.13
2012-09-30,33.81,$4.12,8.21
2012-06-30,28.1,$4.17,6.74
2012-03-31,35.04,$4.02,8.72
2011-12-31,30.38,$3.94,7.71
2011-09-30,24.59,$3.69,6.67
2011-06-30,35.36,$3.40,10.4
2011-03-31,37.85,$3.10,12.23
2010-12-31,34.43,$2.72,12.66
2010-09-30,27.81,$2.53,10.99
2010-06-30,21.9,$2.32,9.46
2010-03-31,25.18,$1.74,14.51
2009-12-31,20.98,$1.13,18.56
