Warner Bros Discovery PE Ratio Historical Data,Warner Bros Discovery PE Ratio Historical Data,Warner Bros Discovery PE Ratio Historical Data,Warner Bros Discovery PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,7.84,,0.0
2024-06-30,7.44,$-4.80,0.0
2024-03-31,8.73,$-1.24,0.0
2023-12-31,11.38,$-1.28,0.0
2023-09-30,10.86,$-1.98,0.0
2023-06-30,12.54,$-2.76,0.0
2023-03-31,15.1,$-3.75,0.0
2022-12-31,9.48,$-2.62,0.0
2022-09-30,11.5,$-1.68,0.0
2022-06-30,13.42,$-0.49,0.0
2022-03-31,24.92,$2.02,12.34
2021-12-31,23.54,$1.54,15.29
2021-09-30,25.38,$1.88,13.5
2021-06-30,30.68,$2.08,14.75
2021-03-31,43.46,$1.47,29.56
2020-12-31,30.09,$1.81,16.62
2020-09-30,21.77,$2.06,10.57
2020-06-30,21.1,$1.97,10.71
2020-03-31,19.44,$2.90,6.7
2019-12-31,32.74,$2.88,11.37
2019-09-30,26.63,$2.59,10.28
2019-06-30,30.7,$2.40,12.79
2019-03-31,27.02,$1.37,19.72
2018-12-31,24.74,$0.83,29.81
2018-09-30,32.0,$-1.54,0.0
2018-06-30,27.5,$-1.32,0.0
2018-03-31,21.43,$-0.98,0.0
2017-12-31,22.38,$-0.60,0.0
2017-09-30,21.29,$1.91,11.15
2017-06-30,25.83,$1.89,13.67
2017-03-31,29.09,$1.91,15.23
2016-12-31,27.41,$1.96,13.98
2016-09-30,26.92,$1.78,15.12
2016-06-30,25.23,$1.85,13.64
2016-03-31,28.63,$1.63,17.56
2015-12-31,26.68,$1.58,16.89
2015-09-30,26.01,$1.62,16.06
2015-06-30,33.26,$1.60,20.79
2015-03-31,30.76,$2.25,13.67
2014-12-31,34.45,$2.54,13.56
2014-09-30,37.8,$2.97,12.73
2014-06-30,37.14,$3.27,11.36
2014-03-31,41.35,$3.00,13.78
2013-12-31,45.21,$2.97,15.22
2013-09-30,42.21,$2.77,15.24
2013-06-30,38.62,$2.61,14.8
2013-03-31,39.37,$2.55,15.44
2012-12-31,31.74,$2.49,12.75
2012-09-30,29.8,$2.74,10.88
2012-06-30,27.0,$2.78,9.71
2012-03-31,25.3,$2.64,9.58
2011-12-31,20.49,$2.81,7.29
2011-09-30,18.81,$2.42,7.77
2011-06-30,20.48,$2.26,9.06
2011-03-31,19.95,$1.89,10.56
2010-12-31,20.85,$1.51,13.81
2010-09-30,21.78,$1.26,17.28
2010-06-30,17.86,$1.26,14.17
2009-12-31,15.34,$1.29,11.89
2009-09-30,14.45,$1.32,10.94
