Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,282.77,,15.0
2024-06-30,245.2,$18.85,13.01
2024-03-31,290.14,$17.74,16.35
2023-12-31,257.29,$17.10,15.05
2023-09-30,201.63,$13.27,15.19
2023-06-30,223.05,$13.01,17.14
2023-03-31,201.61,$14.18,14.22
2022-12-31,223.38,$14.45,15.46
2022-09-30,213.33,$14.37,14.85
2022-06-30,208.77,$14.58,14.32
2022-03-31,190.09,$13.34,14.25
2021-12-31,176.9,$13.52,13.08
2021-09-30,181.73,$16.68,10.9
2021-06-30,197.29,$18.48,10.68
2021-03-31,191.69,$16.58,11.56
2020-12-31,157.77,$17.13,9.21
2020-09-30,129.36,$14.59,8.87
2020-06-30,159.31,$12.88,12.37
2020-03-31,165.5,$14.65,11.3
2019-12-31,226.79,$13.27,17.09
2019-09-30,190.68,$14.60,13.06
2019-06-30,201.5,$16.15,12.48
2019-03-31,185.0,$18.48,10.01
2018-12-31,169.25,$19.11,8.86
2018-09-30,227.74,$15.58,14.62
2018-06-30,192.22,$13.56,14.18
2018-03-31,227.83,$11.37,20.04
2017-12-31,207.76,$12.09,17.18
2017-09-30,198.98,$12.95,15.37
2017-06-30,163.12,$12.48,13.07
2016-12-31,160.46,$12.14,13.22
2016-09-30,133.2,$9.00,14.8
2016-06-30,145.45,$9.02,16.13
2016-03-31,118.15,$9.42,12.54
2015-12-31,109.03,$8.34,13.07
2015-09-30,91.76,$8.33,11.02
2015-06-30,96.06,$8.00,12.01
2015-03-31,119.19,$6.84,17.43
2014-12-31,95.38,$6.86,13.9
2014-09-30,88.06,$7.63,11.54
2014-06-30,79.78,$7.03,11.35
2014-03-31,86.07,$6.11,14.09
2013-12-31,75.62,$5.28,14.32
2013-09-30,56.48,$3.72,15.18
2013-06-30,47.26,$3.36,14.07
2012-12-31,36.12,$2.91,12.41
2012-09-30,34.96,$3.32,10.53
2012-06-30,33.45,$3.98,8.41
2012-03-31,33.45,$3.85,8.69
2011-12-31,26.0,$-1.89,0.0
2011-03-31,34.5,$-2.48,0.0
2013-03-31,44.54,$-0.84,0.0
