Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,19.7,,16.84
2024-06-30,17.46,$1.17,14.92
2024-03-31,16.75,$1.12,14.96
2023-12-31,18.01,$1.05,17.15
2023-09-30,16.1,$0.86,18.72
2023-06-30,17.25,$0.91,18.96
2023-03-31,16.14,$0.89,18.14
2022-12-31,16.23,$0.84,19.32
2022-09-30,12.48,$0.82,15.22
2022-06-30,9.96,$0.06,166.05
2022-03-31,11.92,$0.07,170.28
2021-12-31,12.12,$-0.06,0.0
2021-09-30,9.58,$-0.24,0.0
2021-06-30,10.15,$-3.42,0.0
2020-12-31,12.44,$-3.03,0.0
2020-09-30,9.37,$-9.96,0.0
2020-06-30,8.85,$-13.06,0.0
2020-03-31,8.97,$-14.16,0.0
2019-12-31,10.85,$-14.48,0.0
2019-09-30,9.98,$-20.88,0.0
2019-06-30,22.88,$-16.73,0.0
2019-03-31,17.77,$-13.81,0.0
2018-12-31,23.71,$-13.84,0.0
2018-09-30,45.93,$0.47,97.73
2018-06-30,42.49,$0.17,249.92
2017-12-31,44.75,$3.21,13.94
2017-09-30,67.97,$4.35,15.63
2017-06-30,65.74,$4.05,16.23
2017-03-31,65.21,$3.67,17.77
2016-12-31,59.28,$2.76,21.48
2016-09-30,59.19,$1.67,35.44
2016-06-30,61.37,$1.53,40.11
2016-03-31,56.89,$1.98,28.73
2015-12-31,50.28,$2.59,19.41
2015-09-30,49.49,$2.38,20.8
2018-03-31,43.85,$2.02,21.71
2015-06-30,45.63,$2.87,15.9
2015-03-31,48.87,$2.61,18.72
2014-12-31,48.6,$3.04,15.99
2014-09-30,40.78,$2.96,13.78
2014-06-30,43.03,$1.61,26.73
2014-03-31,38.34,$1.78,21.54
2013-12-31,35.38,$1.84,19.23
2013-09-30,35.54,$1.62,21.94
2013-06-30,39.29,$2.10,18.71
2013-03-31,37.87,$1.91,19.83
2012-12-31,33.82,$1.92,17.61
2012-09-30,35.51,$2.15,16.52
2012-06-30,37.27,$1.81,20.59
2012-03-31,35.38,$2.17,16.31
2011-12-31,33.25,$2.11,15.76
2011-09-30,33.74,$2.54,13.28
2011-06-30,33.17,$2.70,12.29
2011-03-31,34.49,$2.65,13.02
2010-12-31,36.96,$2.82,13.11
2010-09-30,34.76,$2.90,11.99
2010-06-30,31.15,$3.07,10.14
2010-03-31,31.8,$3.23,9.85
2009-12-31,33.12,$3.21,10.32
2009-09-30,29.76,$2.56,11.62
