Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,14.97,,13.02
2024-06-30,13.18,$1.15,11.46
2023-12-31,12.42,$1.24,10.01
2023-09-30,10.03,$1.51,6.64
2023-06-30,10.25,$1.42,7.22
2023-03-31,10.5,$1.46,7.19
2022-12-31,13.02,$1.42,9.17
2024-03-31,13.78,$1.29,10.68
2022-09-30,12.03,$1.29,9.33
2022-06-30,10.86,$1.12,9.7
2022-03-31,13.03,$1.17,11.14
2021-12-31,13.6,$1.36,10.0
2021-09-30,13.5,$1.37,9.86
2021-06-30,12.34,$1.42,8.69
2021-03-31,13.45,$1.15,11.7
2020-12-31,10.71,$0.70,15.3
2020-09-30,7.68,$0.71,10.82
2020-06-30,7.46,$0.78,9.56
2020-03-31,6.68,$0.98,6.81
2019-12-31,12.05,$1.27,9.49
2019-09-30,11.29,$1.28,8.82
2019-06-30,10.83,$1.27,8.52
2019-03-31,9.83,$1.24,7.93
2018-12-31,9.15,$1.20,7.62
2018-09-30,11.45,$1.28,8.94
2018-06-30,11.23,$1.18,9.51
2018-03-31,11.4,$1.11,10.27
2017-12-31,10.92,$1.00,10.92
2017-09-30,10.39,$0.81,12.83
2017-06-30,10.0,$0.69,14.49
2017-03-31,9.85,$0.65,15.15
2016-12-31,9.67,$0.68,14.21
2016-09-30,7.16,$0.71,10.09
2016-06-30,6.45,$0.78,8.27
2016-03-31,6.83,$0.82,8.33
2015-12-31,7.86,$0.81,9.71
2015-09-30,7.49,$0.79,9.48
2015-06-30,7.95,$0.79,10.06
2015-03-31,7.72,$0.75,10.3
2014-12-31,7.31,$0.73,10.02
2014-09-30,6.73,$0.72,9.34
2014-06-30,6.56,$0.74,8.87
2014-03-31,6.82,$0.72,9.47
2013-12-31,6.57,$0.72,9.12
2013-09-30,5.59,$0.73,7.66
2013-06-30,5.3,$0.72,7.36
2013-03-31,4.93,$0.72,6.84
2012-12-31,4.25,$0.72,5.9
2012-09-30,4.56,$0.67,6.8
2012-06-30,4.21,$0.64,6.57
2012-03-31,4.21,$0.63,6.68
2011-12-31,3.56,$0.60,5.94
2011-09-30,3.09,$0.51,6.06
2011-06-30,4.19,$0.45,9.31
2011-03-31,4.24,$0.32,13.24
2010-12-31,4.38,$0.19,23.03
2010-09-30,3.62,$-0.42,0.0
2010-06-30,3.52,$-0.85,0.0
2010-03-31,3.42,$-1.28,0.0
2009-12-31,2.31,$-8.08,0.0
