Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,142.92,,37.12
2024-07-31,141.4,$3.85,36.73
2024-04-30,136.78,$4.23,32.34
2024-01-31,129.65,$4.20,30.87
2023-10-31,102.83,$4.21,24.43
2023-07-31,120.89,$3.82,31.65
2023-04-30,134.21,$4.54,29.56
2023-01-31,150.46,$4.43,33.96
2022-10-31,136.67,$4.17,32.77
2022-07-31,132.25,$4.39,30.13
2022-04-30,117.42,$4.15,28.29
2022-01-31,136.94,$3.94,34.76
2021-10-31,154.6,$3.94,39.24
2021-07-31,150.22,$3.20,46.95
2021-04-30,130.85,$2.98,43.91
2021-01-31,117.48,$2.60,45.19
2020-10-31,99.65,$2.30,43.32
2020-07-31,93.86,$2.21,42.47
2020-04-30,74.54,$2.17,34.35
2020-01-31,80.08,$2.42,33.09
2019-10-31,73.32,$3.36,21.82
2019-07-31,67.04,$3.35,20.01
2019-04-30,75.65,$3.48,21.74
2019-01-31,73.15,$3.54,20.66
2018-10-31,62.16,$0.98,63.43
2018-07-31,63.23,$0.91,69.48
2018-04-30,62.79,$0.72,87.21
2018-01-31,69.97,$0.59,118.6
2017-10-31,64.68,$2.10,30.8
2017-07-31,56.73,$1.94,29.24
2017-04-30,52.12,$1.78,29.28
2017-01-31,46.25,$1.56,29.64
2016-10-31,41.03,$1.41,29.1
2016-07-31,45.19,$1.45,31.17
2016-04-30,38.34,$1.38,27.78
2016-01-31,35.17,$1.35,26.06
2015-10-31,35.18,$1.19,29.56
2015-07-31,38.04,$0.82,46.39
2015-04-30,38.34,$0.94,40.78
2015-01-31,34.92,$1.10,31.74
2014-10-31,36.84,$1.47,25.06
2014-07-31,37.3,$2.05,18.19
2014-04-30,35.85,$2.11,16.99
2014-01-31,38.49,$2.18,17.65
2013-10-31,33.52,$2.11,15.89
2013-07-31,29.47,$2.68,11.0
2013-04-30,27.22,$2.88,9.45
2013-01-31,29.33,$3.12,9.4
2012-10-31,23.52,$3.26,7.21
2012-07-31,24.96,$2.88,8.67
2012-04-30,27.42,$3.11,8.82
2012-01-31,27.55,$2.95,9.34
2011-10-31,24.05,$2.84,8.47
2011-07-31,27.35,$2.68,10.2
2011-04-30,32.37,$2.34,13.84
2011-01-31,27.13,$2.09,12.98
2010-10-31,22.57,$1.77,12.75
2010-07-31,18.12,$1.18,15.35
2010-04-30,23.52,$0.54,43.56
2010-01-31,18.18,$-0.06,0.0
2009-10-31,16.05,$-0.10,0.0
