ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,903.87,,48.78
2024-06-30,1020.79,$18.53,55.09
2024-03-31,966.66,$19.58,49.37
2023-12-31,752.64,$21.51,34.99
2023-09-30,583.87,$20.61,28.33
2023-06-30,717.23,$19.70,36.41
2023-03-31,671.69,$18.10,37.11
2022-12-31,537.96,$16.38,32.84
2022-09-30,407.69,$16.69,24.43
2022-06-30,466.0,$17.39,26.8
2022-03-31,645.6,$16.66,38.75
2021-12-31,769.53,$16.93,45.45
2021-09-30,718.36,$15.77,45.55
2021-06-30,666.04,$13.71,48.58
2021-03-31,593.5,$12.64,46.95
2020-12-31,468.87,$9.81,47.8
2020-09-30,353.65,$8.94,39.56
2020-06-30,352.46,$7.64,46.13
2020-03-31,249.32,$6.94,35.93
2019-12-31,282.01,$7.34,38.42
2019-09-30,235.72,$6.48,36.38
2019-06-30,197.3,$6.68,29.54
2019-03-31,176.44,$7.04,25.06
2018-12-31,146.01,$7.16,20.39
2018-09-30,176.41,$6.81,25.9
2018-06-30,185.75,$6.47,28.71
2018-03-31,184.67,$5.92,31.19
2017-12-31,161.66,$5.49,29.45
2017-09-30,159.23,$5.05,31.53
2017-06-30,121.2,$4.57,26.52
2017-03-31,122.3,$4.23,28.91
2016-12-31,103.33,$3.94,26.23
2016-09-30,100.92,$3.57,28.27
2015-12-31,80.72,$3.52,22.93
2015-09-30,80.0,$3.59,22.28
2015-06-30,94.68,$3.47,27.29
2015-03-31,91.22,$3.75,24.32
2014-12-31,97.36,$3.38,28.8
2014-09-30,89.22,$4.03,22.14
2014-06-30,84.21,$3.90,21.59
2014-03-31,83.43,$3.33,25.05
2013-12-31,83.73,$3.01,27.82
2013-09-30,88.26,$2.42,36.47
2013-06-30,70.7,$2.94,24.01
2013-03-31,60.2,$3.40,17.68
2012-12-31,57.01,$4.26,13.38
2012-09-30,49.51,$4.52,10.96
2012-06-30,47.43,$4.90,9.69
2012-03-31,45.7,$5.58,8.18
2011-12-31,38.09,$6.12,6.23
2011-09-30,31.48,$6.60,4.77
2011-06-30,33.69,$6.15,5.48
2011-03-31,40.0,$5.21,7.67
2010-12-31,34.46,$3.95,8.72
2010-09-30,26.72,$2.56,10.43
2010-06-30,24.69,$1.61,15.31
2010-03-31,31.82,$0.29,110.56
2009-12-31,30.43,$-0.61,0.0
2009-09-30,26.4,$-0.32,0.0
2009-06-30,19.33,$0.53,36.41
