Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,24.33,,13.9
2024-06-30,26.44,$1.75,15.11
2024-03-31,27.43,$1.73,15.86
2023-12-31,24.91,$2.14,11.64
2023-09-30,26.22,$2.91,9.01
2023-06-30,24.34,$3.99,6.1
2023-03-31,23.42,$5.24,4.47
2022-12-31,22.88,$5.11,4.48
2022-09-30,23.74,$4.95,4.8
2022-06-30,22.92,$3.60,6.37
2022-03-31,23.49,$2.15,10.92
2021-12-31,16.2,$1.72,9.42
2021-09-30,17.86,$0.89,20.06
2021-06-30,14.23,$0.77,18.48
2021-03-31,15.21,$0.77,19.76
2020-12-31,13.12,$0.59,22.23
2020-09-30,13.91,$0.62,22.43
2020-06-30,13.69,$0.80,17.12
2020-03-31,13.63,$1.15,11.85
2019-12-31,13.71,$1.63,8.41
2019-09-30,13.76,$1.91,7.21
2019-06-30,17.98,$1.97,9.13
2019-03-31,20.37,$1.63,12.5
2018-12-31,17.4,$1.27,13.7
2018-09-30,17.48,$0.53,32.99
2018-06-30,18.43,$0.29,63.55
2018-03-31,18.52,$0.25,74.08
2017-12-31,22.04,$0.22,100.19
2017-09-30,20.58,$-0.31,0.0
2017-06-30,19.25,$-0.37,0.0
2017-03-31,18.32,$-0.56,0.0
2016-12-31,17.88,$-0.91,0.0
2016-09-30,19.73,$-0.55,0.0
2016-06-30,19.67,$-0.57,0.0
2016-03-31,17.34,$-0.50,0.0
2015-12-31,13.49,$-0.28,0.0
2015-09-30,16.66,$-0.55,0.0
2015-06-30,24.02,$-0.27,0.0
2015-03-31,22.47,$0.08,280.9
2014-12-31,22.52,$0.24,93.82
2014-09-30,24.84,$0.97,25.61
2014-06-30,25.93,$0.90,28.81
2014-03-31,25.72,$0.83,30.98
2013-12-31,29.41,$0.67,43.89
2013-09-30,28.3,$0.58,49.21
2013-06-30,26.91,$0.49,54.92
2013-03-31,25.61,$0.45,56.92
2012-12-31,18.84,$0.44,42.81
2012-09-30,17.0,$0.41,41.45
2012-06-30,14.91,$0.39,37.98
2012-03-31,11.79,$0.35,33.44
2011-12-31,14.34,$0.29,49.03
2011-09-30,11.69,$0.35,33.89
2011-06-30,12.52,$0.29,43.54
2011-03-31,9.99,$0.21,47.59
2010-12-31,7.14,$0.25,28.55
2010-09-30,5.67,$0.22,25.78
2010-06-30,5.89,$0.31,19.33
2010-03-31,6.92,$0.32,21.97
2009-12-31,8.19,$0.36,22.75
