NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data,NVIDIA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,119.37,,81.65
2024-07-31,117.02,$1.46,80.04
2024-04-30,86.39,$1.71,50.52
2024-01-31,61.52,$1.19,51.52
2023-10-31,40.77,$0.76,53.79
2023-07-31,46.72,$0.41,112.84
2023-04-30,27.74,$0.19,144.47
2023-01-31,19.53,$0.17,112.22
2022-10-31,13.49,$0.24,57.39
2022-07-31,18.14,$0.31,59.48
2022-04-30,18.52,$0.37,49.66
2022-01-31,24.45,$0.38,63.54
2021-10-31,25.53,$0.32,78.64
2021-07-31,19.46,$0.28,69.37
2021-04-30,14.98,$0.21,70.86
2021-01-31,12.96,$0.17,75.17
2020-10-31,12.5,$0.15,81.76
2020-07-31,10.58,$0.14,77.71
2020-04-30,7.28,$0.13,54.39
2020-01-31,5.89,$0.11,52.05
2019-10-31,5.0,$0.10,51.14
2019-07-31,4.19,$0.11,37.85
2019-04-30,4.49,$0.13,33.97
2019-01-31,3.57,$0.17,21.5
2018-10-31,5.23,$0.19,27.92
2018-07-31,6.07,$0.17,35.43
2018-04-30,5.57,$0.15,37.07
2018-01-31,6.09,$0.12,50.46
2017-10-31,5.12,$0.10,50.71
2017-07-31,4.02,$0.09,45.44
2017-04-30,2.58,$0.08,34.16
2017-01-31,2.69,$0.06,42.14
2016-10-31,1.75,$0.05,36.59
2016-07-31,1.4,$0.04,36.84
2016-04-30,0.87,$0.03,29.63
2016-01-31,0.72,$0.03,26.41
2015-10-31,0.69,$0.03,25.48
2015-07-31,0.48,$0.02,20.23
2015-04-30,0.54,$0.03,19.06
2015-01-31,0.46,$0.03,16.43
2014-10-31,0.47,$0.03,18.27
2014-07-31,0.42,$0.02,18.29
2014-04-30,0.44,$0.02,20.57
2014-01-31,0.37,$0.02,19.93
2013-10-31,0.36,$0.02,18.48
2013-07-31,0.34,$0.02,14.92
2013-04-30,0.32,$0.02,13.68
2013-01-31,0.28,$0.02,12.54
2012-10-31,0.27,$0.02,13.48
2012-07-31,0.31,$0.02,16.02
2012-04-30,0.3,$0.02,14.28
2012-01-31,0.34,$0.02,14.19
2011-10-31,0.34,$0.03,13.02
2011-07-31,0.32,$0.02,14.05
2011-04-30,0.46,$0.01,45.91
2011-01-31,0.55,$0.01,53.31
2010-10-31,0.28,$0.01,0.0
2010-07-31,0.21,$0.01,20.89
2010-04-30,0.36,$0.01,31.09
2010-01-31,0.35,$-0.00,0.0
2009-10-31,0.27,$-0.02,0.0
