W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,59.7,,15.66
2024-06-30,52.39,$3.81,13.74
2024-03-31,58.51,$3.76,15.56
2023-12-31,46.73,$3.37,13.85
2023-09-30,41.59,$3.31,12.58
2023-06-30,38.65,$3.03,12.74
2023-03-31,40.33,$2.59,15.55
2022-12-31,46.61,$3.30,14.13
2022-09-30,41.42,$3.09,13.39
2022-06-30,43.71,$3.17,13.79
2022-03-31,42.27,$3.31,12.78
2021-12-31,34.82,$2.44,14.27
2021-09-30,30.49,$2.48,12.32
2021-06-30,30.95,$2.21,13.98
2021-03-31,31.07,$1.82,17.09
2020-12-31,27.34,$1.26,21.66
2020-09-30,25.13,$0.80,31.58
2020-06-30,23.5,$0.81,28.89
2020-03-31,21.35,$1.14,18.69
2019-12-31,28.23,$1.57,17.99
2019-09-30,29.14,$1.60,18.23
2019-06-30,26.56,$1.59,16.66
2019-03-31,22.54,$1.51,14.92
2018-12-31,19.63,$1.48,13.28
2018-09-30,21.05,$1.53,13.74
2018-06-30,18.92,$1.53,12.35
2018-03-31,18.95,$1.37,13.85
2017-12-31,18.64,$1.27,14.7
2017-09-30,17.21,$1.27,13.6
2017-06-30,17.79,$1.40,12.7
2017-03-31,18.0,$1.40,12.84
2016-12-31,16.92,$1.39,12.15
2016-09-30,14.54,$1.29,11.28
2016-06-30,14.91,$1.13,13.21
2016-03-31,13.95,$1.16,12.04
2015-12-31,13.56,$1.15,11.83
2015-09-30,13.44,$1.14,11.78
2015-06-30,12.81,$1.21,10.57
2015-03-31,12.43,$1.33,9.34
2014-12-31,12.59,$1.44,8.76
2014-09-30,11.48,$1.47,7.83
2014-06-30,11.1,$1.33,8.33
2014-03-31,9.95,$1.18,8.46
2013-12-31,10.35,$1.05,9.84
2013-09-30,10.2,$1.12,9.08
2013-06-30,9.7,$1.05,9.27
2013-03-31,10.51,$1.03,10.22
2012-12-31,8.92,$1.06,8.41
2012-09-30,8.62,$0.96,9.01
2012-06-30,8.93,$0.91,9.85
2012-03-31,8.27,$0.85,9.76
2011-12-31,7.85,$0.80,9.78
2011-09-30,6.76,$0.81,8.33
2011-06-30,7.37,$0.83,8.85
2011-03-31,7.3,$0.87,8.35
2010-12-31,6.19,$0.86,7.2
2010-09-30,6.1,$0.85,7.2
2010-06-30,5.95,$0.84,7.07
2010-03-31,5.85,$0.81,7.24
2009-12-31,5.52,$0.55,10.01
