KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,17.06,,22.16
2024-06-30,14.04,$0.77,18.23
2024-03-31,15.4,$0.79,19.49
2023-12-31,13.82,$0.89,15.53
2023-09-30,10.15,$1.24,8.18
2023-06-30,8.55,$1.50,5.7
2023-03-31,11.36,$1.77,6.42
2022-12-31,15.62,$1.92,8.14
2022-09-30,14.21,$2.18,6.52
2022-06-30,15.12,$2.28,6.63
2022-03-31,19.45,$2.47,7.87
2021-12-31,19.94,$2.63,7.58
2021-09-30,18.48,$2.56,7.22
2021-06-30,17.49,$2.32,7.54
2021-03-31,16.79,$1.76,9.54
2020-12-31,13.67,$1.27,10.76
2020-09-30,9.82,$1.15,8.54
2020-06-30,9.88,$1.13,8.74
2020-03-31,8.28,$1.36,6.09
2019-12-31,15.99,$1.62,9.87
2019-09-30,13.96,$1.62,8.61
2019-06-30,13.73,$1.68,8.17
2019-03-31,12.06,$1.72,7.01
2018-12-31,11.2,$1.72,6.51
2018-09-30,14.94,$1.44,10.37
2018-06-30,14.56,$1.31,11.11
2018-03-31,14.48,$1.23,11.77
2017-12-31,14.86,$1.12,13.27
2017-09-30,13.79,$1.14,12.1
2017-06-30,13.66,$0.98,13.94
2017-03-31,12.89,$0.85,15.16
2016-12-31,13.19,$0.80,16.48
2016-09-30,8.74,$0.87,10.05
2016-06-30,7.88,$0.96,8.21
2016-03-31,7.82,$1.00,7.82
2015-12-31,9.28,$1.04,8.92
2015-09-30,9.1,$1.06,8.58
2015-06-30,10.45,$1.04,10.04
2015-03-31,9.8,$1.01,9.7
2014-12-31,9.57,$1.01,9.48
2014-09-30,9.14,$0.98,9.32
2014-06-30,9.78,$1.04,9.4
2014-03-31,9.67,$1.02,9.48
2013-12-31,9.07,$0.97,9.35
2013-09-30,7.67,$0.93,8.25
2013-06-30,7.4,$0.87,8.5
2013-03-31,6.64,$0.89,7.46
2012-12-31,5.58,$0.88,6.34
2012-09-30,5.76,$0.87,6.62
2012-06-30,5.07,$0.86,5.9
2012-03-31,5.53,$0.87,6.36
2011-12-31,4.99,$0.86,5.8
2011-09-30,3.83,$0.98,3.91
2011-06-30,5.35,$0.96,5.58
2011-03-31,5.69,$0.74,7.68
2010-12-31,5.66,$0.44,12.87
2010-09-30,5.08,$-0.18,0.0
2010-06-30,4.91,$-0.90,0.0
2010-03-31,4.94,$-1.61,0.0
2009-12-31,3.53,$-2.59,0.0
