Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,26.46,,27.85
2024-06-30,24.86,$0.95,26.17
2024-03-31,22.18,$0.95,23.35
2023-12-31,22.46,$2.16,10.4
2023-09-30,17.3,$2.19,7.9
2023-06-30,18.04,$2.08,8.67
2023-03-31,16.56,$2.12,7.81
2022-12-31,20.56,$0.90,22.85
2022-09-30,19.22,$0.99,19.41
2022-06-30,20.84,$1.43,14.58
2022-03-31,25.05,$1.41,17.76
2021-12-31,24.43,$1.54,15.86
2021-09-30,23.67,$1.50,15.78
2021-06-30,25.34,$1.05,24.13
2021-03-31,19.71,$0.93,21.19
2020-12-31,19.14,$0.96,19.94
2020-09-30,19.07,$5.06,3.77
2020-06-30,18.04,$6.17,2.92
2020-03-31,16.93,$6.02,2.81
2019-12-31,13.5,$5.71,2.36
2019-09-30,12.44,$1.41,8.82
2019-06-30,11.42,$0.18,63.42
2019-03-31,12.01,$0.08,150.17
2018-12-31,9.84,$2.04,4.82
2018-09-30,11.05,$1.92,5.75
2018-03-31,13.32,$1.71,7.79
2017-12-31,14.42,$1.54,9.36
2017-09-30,16.82,$-0.40,0.0
2017-06-30,14.44,$-0.61,0.0
2017-03-31,15.65,$-0.17,0.0
2016-12-31,12.15,$3.21,3.79
2016-09-30,12.73,$3.39,3.75
2016-06-30,10.38,$3.85,2.7
2016-03-31,9.25,$3.80,2.43
2015-12-31,8.45,$0.90,9.39
2015-09-30,7.77,$0.97,8.02
2015-06-30,9.22,$1.09,8.46
2015-03-31,9.21,$1.26,7.31
2014-12-31,10.05,$1.32,7.61
2014-09-30,9.15,$1.40,6.54
2014-06-30,8.86,$1.39,6.38
2014-03-31,7.67,$1.27,6.04
2013-12-31,9.0,$1.22,7.37
2013-09-30,9.38,$0.72,13.03
2013-06-30,8.47,$0.68,12.46
2013-03-31,9.24,$0.73,12.66
2018-06-30,10.68,$0.71,15.04
2012-12-31,7.05,$1.57,4.49
2012-09-30,6.73,$1.59,4.23
2012-06-30,5.47,$1.56,3.51
2012-03-31,7.0,$1.54,4.55
2011-12-31,5.86,$1.00,5.86
2011-09-30,6.1,$0.85,7.18
2011-06-30,7.38,$0.78,9.47
2011-03-31,6.94,$0.76,9.13
2010-12-31,6.27,$0.77,8.14
2010-09-30,5.67,$0.97,5.84
2010-06-30,5.2,$0.98,5.3
2010-03-31,6.34,$0.87,7.29
2009-12-31,6.7,$0.34,19.7
