Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,112.02,,41.03
2024-06-30,97.7,$2.73,35.79
2024-03-31,104.18,$3.20,32.56
2023-12-31,111.75,$3.46,32.3
2023-09-30,88.08,$3.58,24.6
2023-06-30,107.35,$3.94,27.25
2023-03-31,124.39,$3.86,32.23
2022-12-31,124.58,$3.86,32.27
2022-09-30,131.27,$3.72,35.29
2022-06-30,151.57,$3.56,42.58
2022-03-31,164.64,$3.36,49.0
2021-12-31,184.6,$2.67,69.14
2021-09-30,152.13,$3.03,50.21
2021-06-30,170.05,$2.60,65.4
2021-03-31,149.01,$2.24,66.52
2020-12-31,136.66,$2.34,58.4
2020-09-30,141.72,$1.60,88.58
2020-06-30,141.39,$1.80,78.55
2020-03-31,121.09,$1.91,63.4
2019-12-31,118.21,$1.97,60.01
2019-09-30,114.56,$1.98,57.86
2019-06-30,106.56,$1.73,61.59
2019-03-31,103.76,$1.57,66.09
2018-12-31,87.26,$1.34,65.12
2018-09-30,88.57,$1.07,82.77
2018-06-30,84.98,$0.95,89.45
2018-03-31,85.5,$0.90,95.0
2017-12-31,85.77,$1.02,84.09
2017-09-30,76.53,$1.20,63.77
2017-06-30,75.99,$1.25,60.79
2017-03-31,70.98,$1.16,61.19
2016-12-31,64.53,$0.94,68.65
2016-09-30,69.3,$0.98,70.71
2016-06-30,73.89,$1.00,73.89
2016-03-31,62.43,$4.20,14.86
2015-12-31,61.75,$4.43,13.94
2015-09-30,55.76,$4.45,12.53
2015-06-30,56.18,$4.46,12.6
2015-03-31,57.18,$1.11,51.52
2014-12-31,54.01,$1.04,51.93
2014-09-30,54.67,$0.52,105.13
2014-06-30,50.41,$0.39,129.27
2014-03-31,50.09,$0.50,100.18
2013-12-31,49.85,$0.28,178.04
2013-09-30,49.58,$0.32,154.93
2013-06-30,49.14,$0.30,163.81
2013-03-31,47.28,$0.52,90.92
2012-12-31,48.99,$0.64,76.54
2012-09-30,43.52,$0.87,50.02
2012-06-30,39.82,$0.88,45.25
2012-03-31,36.21,$0.57,63.53
2011-12-31,30.41,$0.52,58.49
2011-09-30,27.61,$0.48,57.52
2011-06-30,27.69,$-0.16,0.0
2011-03-31,28.89,$-0.61,0.0
2010-12-31,29.76,$-1.16,0.0
2010-09-30,29.97,$-1.24,0.0
2010-06-30,25.29,$-0.88,0.0
2010-03-31,25.95,$-0.93,0.0
2009-12-31,26.5,$-0.48,0.0
