Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data,Regions Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,23.42,,13.23
2024-06-30,20.04,$1.77,11.32
2024-03-31,21.04,$1.84,11.43
2023-12-31,19.13,$2.09,9.15
2023-09-30,16.75,$2.40,6.98
2023-06-30,17.13,$2.34,7.32
2023-03-31,17.64,$2.34,7.54
2022-12-31,20.29,$2.27,8.94
2022-09-30,18.71,$2.00,9.36
2022-06-30,17.32,$2.22,7.8
2022-03-31,20.41,$2.40,8.5
2021-12-31,19.83,$2.48,8.0
2021-09-30,19.24,$2.66,7.23
2021-06-30,18.07,$2.53,7.14
2021-03-31,18.37,$1.51,12.17
2020-12-31,14.23,$1.02,13.95
2020-09-30,10.08,$0.79,12.76
2020-06-30,9.59,$0.66,14.53
2020-03-31,7.64,$1.28,5.97
2019-12-31,14.46,$1.51,9.58
2019-09-30,13.21,$1.50,8.81
2019-06-30,12.35,$1.61,7.67
2019-03-31,11.58,$1.56,7.42
2018-12-31,10.85,$1.54,7.05
2018-09-30,14.74,$1.44,10.24
2018-06-30,14.19,$1.19,11.92
2018-03-31,14.75,$1.12,13.17
2017-12-31,13.66,$1.00,13.66
2017-09-30,11.98,$0.96,12.47
2017-06-30,11.43,$0.95,12.04
2017-03-31,11.29,$0.90,12.54
2016-12-31,11.11,$0.87,12.77
2016-09-30,7.6,$0.85,8.94
2016-06-30,6.51,$0.79,8.24
2016-03-31,5.97,$0.79,7.55
2015-12-31,7.24,$0.75,9.66
2015-09-30,6.75,$0.68,9.93
2015-06-30,7.72,$0.72,10.72
2015-03-31,7.0,$0.73,9.59
2014-12-31,7.78,$0.79,9.85
2014-09-30,7.36,$0.81,9.09
2014-06-30,7.75,$0.79,9.81
2014-03-31,8.07,$0.76,10.62
2013-12-31,7.16,$0.72,9.95
2013-09-30,6.69,$0.77,8.68
2013-06-30,6.86,$0.77,8.91
2012-12-31,5.11,$0.70,7.3
2012-09-30,5.15,$0.04,128.68
2012-06-30,4.82,$0.06,80.37
2012-03-31,4.7,$-0.06,0.0
2011-12-31,3.06,$-0.13,0.0
2013-03-31,5.87,$0.36,16.32
2011-09-30,2.37,$0.16,14.78
2011-06-30,4.39,$-0.09,0.0
2011-03-31,5.14,$-0.41,0.0
2010-12-31,4.94,$-0.63,0.0
2010-09-30,5.13,$-1.17,0.0
2010-06-30,4.63,$-1.37,0.0
2010-03-31,5.52,$-1.37,0.0
2009-12-31,3.72,$-1.12,0.0
