Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,252.9,,59.09
2024-07-31,258.8,$4.28,60.47
2024-04-30,268.51,$5.56,48.29
2024-01-31,280.28,$4.20,66.73
2023-10-31,200.25,$2.63,76.14
2023-07-31,224.36,$1.59,141.11
2023-04-30,197.8,$0.38,520.52
2023-01-31,167.48,$0.21,797.54
2022-10-31,162.12,$0.28,579.0
2022-07-31,183.49,$0.54,339.79
2022-04-30,175.43,$1.03,170.32
2022-01-31,231.96,$1.50,154.64
2021-10-31,298.82,$1.81,165.1
2021-07-31,241.23,$2.49,96.88
2021-04-30,229.65,$4.78,48.04
2021-01-31,224.91,$4.39,51.23
2020-10-31,231.6,$3.83,60.47
2020-07-31,194.29,$2.56,75.89
2020-04-30,161.48,$0.20,807.41
2020-01-31,181.78,$0.55,330.51
2019-10-31,156.04,$0.96,162.54
2019-04-30,164.87,$1.47,112.16
2019-01-31,151.53,$1.44,105.23
2018-10-31,136.84,$1.07,127.89
2018-07-31,136.75,$1.01,135.4
2018-04-30,120.64,$0.64,188.5
2018-01-31,113.58,$0.17,668.12
2017-10-31,102.04,$0.01,10204.41
2017-07-31,90.54,$-0.11,0.0
2017-04-30,85.87,$0.20,429.36
2017-01-31,78.87,$0.27,292.12
2016-10-31,74.94,$0.30,249.81
2016-07-31,81.56,$0.31,263.11
2016-04-30,75.58,$-0.02,0.0
2016-01-31,67.86,$-0.07,0.0
2015-10-31,77.49,$-0.13,0.0
2015-07-31,73.09,$-0.15,0.0
2015-04-30,72.61,$-0.25,0.0
2015-01-31,56.29,$-0.42,0.0
2014-10-31,63.81,$-0.51,0.0
2014-07-31,54.09,$-0.34,0.0
2014-04-30,51.5,$-0.45,0.0
2014-01-31,60.36,$-0.17,0.0
2019-07-31,154.05,$-0.10,0.0
2013-10-31,53.21,$-0.25,0.0
2013-07-31,43.62,$-0.42,0.0
2013-04-30,40.99,$-0.56,0.0
2013-01-31,42.91,$-0.48,0.0
2012-10-31,36.39,$-0.45,0.0
2012-07-31,31.0,$-0.07,0.0
2012-04-30,38.82,$-0.06,0.0
2012-01-31,29.12,$-0.02,0.0
2011-10-31,33.2,$0.01,0.0
2011-07-31,36.07,$0.05,721.46
2011-04-30,34.55,$0.09,406.47
2011-01-31,32.19,$0.12,273.97
2010-10-31,28.93,$0.14,210.43
2010-07-31,24.67,$0.14,176.19
2010-04-30,21.34,$0.16,137.67
2010-01-31,15.84,$0.16,99.01
2009-10-31,14.15,$0.15,95.91
