Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,56.98,,14.03
2024-06-30,63.03,$4.06,15.52
2024-03-31,64.75,$3.66,17.69
2023-12-31,59.28,$3.91,15.16
2023-09-30,64.21,$4.57,14.05
2023-06-30,58.03,$5.89,9.85
2023-03-31,61.43,$8.73,7.04
2022-12-31,61.79,$12.38,4.99
2022-09-30,60.16,$12.01,5.01
2022-06-30,57.53,$10.14,5.67
2022-03-31,55.33,$6.57,8.42
2021-12-31,28.2,$1.56,18.08
2021-09-30,28.77,$-1.22,0.0
2021-06-30,30.4,$-5.94,0.0
2021-03-31,25.87,$-14.96,0.0
2020-12-31,16.82,$-17.09,0.0
2020-09-30,9.72,$-17.18,0.0
2020-06-30,17.75,$-14.19,0.0
2020-03-31,11.23,$-4.23,0.0
2019-12-31,37.58,$-0.90,0.0
2019-09-30,39.71,$1.53,25.96
2019-06-30,44.13,$5.05,8.74
2019-03-31,57.17,$5.31,10.77
2018-12-31,52.35,$5.39,9.71
2018-09-30,69.27,$5.11,13.56
2018-06-30,69.84,$2.92,23.92
2018-03-31,53.73,$2.48,21.66
2017-12-31,60.19,$1.71,35.2
2017-09-30,51.89,$0.70,74.12
2017-06-30,47.77,$0.13,367.46
2017-03-31,49.92,$-0.71,0.0
2016-12-31,55.44,$-0.76,0.0
2016-09-30,56.14,$-7.18,0.0
2016-06-30,57.6,$-10.28,0.0
2016-03-31,51.65,$-9.87,0.0
2015-12-31,50.44,$-10.25,0.0
2015-09-30,48.81,$-7.88,0.0
2015-06-30,56.77,$-2.91,0.0
2015-03-31,52.78,$-1.32,0.0
2014-12-31,57.72,$0.71,81.3
2014-09-30,65.64,$7.16,9.17
2014-06-30,69.55,$7.57,9.19
2014-03-31,64.12,$7.39,8.68
2013-12-31,63.51,$7.32,8.68
2013-09-30,62.04,$5.70,10.88
2013-06-30,58.76,$5.43,10.82
2013-03-31,51.26,$5.43,9.44
2012-12-31,49.72,$5.67,8.77
2012-09-30,55.45,$7.26,7.64
2012-06-30,54.91,$7.75,7.09
2012-03-31,60.58,$8.34,7.26
2011-12-31,59.28,$8.32,7.13
2011-09-30,45.02,$7.80,5.77
2011-06-30,65.16,$7.08,9.2
2011-03-31,65.15,$6.16,10.58
2010-12-31,60.89,$5.57,10.93
2010-09-30,48.4,$5.23,9.25
2010-06-30,47.45,$4.91,9.66
2010-03-31,51.75,$4.44,11.66
2009-12-31,49.6,$3.58,13.85
