T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,106.04,,12.52
2024-06-30,115.31,$8.47,13.61
2024-03-31,120.62,$8.42,14.33
2023-12-31,105.4,$7.76,13.58
2023-09-30,101.49,$7.02,14.46
2023-06-30,107.22,$6.71,15.98
2023-03-31,106.89,$6.11,17.49
2022-12-31,102.08,$6.69,15.26
2022-09-30,97.25,$8.71,11.17
2022-06-30,104.12,$10.36,10.05
2022-03-31,137.04,$12.36,11.09
2021-12-31,176.69,$13.12,13.47
2021-09-30,175.76,$13.27,13.24
2021-06-30,176.0,$12.69,13.87
2021-03-31,149.41,$11.78,12.68
2020-12-31,131.0,$10.02,13.07
2020-09-30,110.28,$8.93,12.35
2020-06-30,105.47,$8.43,12.51
2020-03-31,82.78,$8.03,10.31
2019-12-31,102.43,$8.71,11.76
2019-09-30,95.46,$7.88,12.11
2019-06-30,91.08,$7.95,11.46
2019-03-31,82.53,$7.57,10.9
2018-12-31,75.53,$7.25,10.42
2018-09-30,88.66,$7.21,12.3
2018-06-30,93.67,$6.47,14.48
2018-03-31,86.62,$6.20,13.97
2017-12-31,83.68,$5.97,14.02
2017-09-30,71.89,$6.10,11.78
2017-06-30,58.46,$5.82,10.04
2017-03-31,53.27,$5.08,10.49
2016-12-31,58.36,$4.69,12.44
2016-09-30,51.2,$4.36,11.74
2016-06-30,55.74,$4.14,13.46
2016-03-31,55.69,$4.62,12.05
2015-12-31,53.79,$4.60,11.69
2015-09-30,51.87,$4.61,11.25
2015-06-30,57.64,$4.67,12.34
2015-03-31,58.18,$4.56,12.76
2014-12-31,61.3,$4.55,13.47
2014-09-30,55.68,$4.43,12.57
2014-06-30,59.62,$4.31,13.83
2014-03-31,57.85,$4.10,14.11
2013-12-31,58.54,$3.89,15.05
2013-09-30,50.02,$3.71,13.48
2013-06-30,50.63,$3.65,13.87
2013-03-31,51.52,$3.52,14.64
2012-12-31,44.59,$3.36,13.27
2012-09-30,42.45,$3.21,13.23
2012-06-30,42.0,$2.98,14.09
2012-03-31,43.31,$2.95,14.68
2011-12-31,37.57,$2.92,12.87
2011-09-30,31.34,$2.91,10.77
2011-06-30,39.35,$2.85,13.81
2011-03-31,43.08,$2.68,16.07
2010-12-31,41.66,$2.53,16.47
2010-09-30,32.18,$2.38,13.52
2010-06-30,28.37,$2.23,12.72
2010-03-31,34.94,$2.02,17.3
2009-12-31,33.68,$1.64,20.53
