Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,510.25,,16.38
2024-06-30,449.68,$31.15,14.44
2024-03-31,415.25,$25.61,16.21
2023-12-31,380.85,$17.35,21.95
2023-09-30,316.88,$20.12,15.75
2023-06-30,313.25,$22.38,14.0
2022-12-31,328.57,$30.06,10.93
2022-09-30,278.6,$37.55,7.42
2022-06-30,280.27,$38.09,7.36
2022-03-31,309.59,$45.29,6.84
2021-12-31,356.61,$49.55,7.2
2023-03-31,315.26,$57.34,5.5
2021-09-30,350.53,$60.63,5.78
2021-06-30,350.23,$55.38,6.32
2021-03-31,300.75,$46.62,6.45
2020-12-31,241.62,$31.13,7.76
2020-09-30,183.15,$23.74,7.71
2020-06-30,179.01,$18.85,9.5
2020-03-31,139.14,$18.40,7.56
2019-12-31,205.68,$21.00,9.79
2019-09-30,184.33,$22.35,8.25
2019-06-30,180.88,$23.84,7.59
2019-03-31,168.97,$24.01,7.04
2018-12-31,146.43,$25.25,5.8
2018-09-30,196.56,$13.70,14.35
2018-06-30,192.7,$12.44,15.49
2018-03-31,219.27,$10.41,21.06
2017-12-31,221.16,$8.61,25.69
2017-09-30,205.27,$19.20,10.69
2017-06-30,191.39,$19.06,10.04
2017-03-31,197.45,$18.83,10.49
2016-12-31,205.28,$14.95,13.73
2016-09-30,137.83,$12.77,10.79
2016-06-30,126.5,$9.87,12.82
2015-12-31,152.17,$12.09,12.59
2015-09-30,146.2,$15.20,9.62
2015-06-30,175.07,$14.98,11.69
2015-03-31,157.12,$17.57,8.94
2014-12-31,161.52,$15.73,10.27
2016-03-31,133.11,$15.37,8.66
2014-09-30,152.48,$17.29,8.82
2014-06-30,138.66,$15.60,8.89
2014-03-31,135.22,$15.20,8.9
2013-12-31,145.8,$15.47,9.42
2013-09-30,129.7,$16.47,7.88
2013-06-30,123.59,$16.44,7.52
2013-03-31,119.87,$14.52,8.26
2012-12-31,103.56,$14.15,7.32
2012-09-30,91.91,$10.39,8.85
2012-06-30,77.16,$6.70,11.52
2012-03-31,99.64,$6.77,14.72
2011-12-31,72.24,$4.41,16.38
2011-09-30,75.23,$6.36,11.83
2011-06-30,105.57,$10.18,10.37
2011-03-31,125.49,$9.11,13.78
2010-12-31,132.77,$13.14,10.1
2010-09-30,113.9,$17.55,6.49
2010-06-30,103.15,$19.82,5.2
2010-03-31,133.76,$23.97,5.58
2009-12-31,132.06,$21.77,6.07
