DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,125.02,,18.69
2024-06-30,111.01,$6.69,16.59
2024-03-31,111.12,$6.11,18.19
2023-12-31,108.24,$6.76,16.01
2023-09-30,96.56,$6.05,15.96
2023-06-30,106.06,$6.43,16.49
2023-03-31,104.72,$5.65,18.54
2022-12-31,111.37,$5.52,20.18
2022-09-30,108.13,$5.78,18.71
2022-06-30,118.32,$3.92,30.18
2022-03-31,122.49,$4.65,26.34
2021-12-31,109.98,$4.67,23.55
2021-09-30,102.0,$4.52,22.57
2021-06-30,117.49,$6.85,17.15
2021-03-31,118.71,$7.37,16.11
2020-12-31,107.34,$7.08,15.16
2020-09-30,100.81,$7.06,14.28
2020-06-30,93.36,$6.33,14.75
2020-03-31,81.69,$5.88,13.89
2019-12-31,110.55,$6.31,17.52
2019-09-30,112.27,$5.96,18.84
2019-06-30,107.19,$6.07,17.66
2019-03-31,103.8,$6.37,16.3
2018-12-31,91.09,$6.18,14.74
2018-09-30,89.41,$6.73,13.29
2018-06-30,84.24,$6.40,13.16
2018-03-31,84.1,$6.10,13.79
2017-12-31,87.43,$6.33,13.81
2017-09-30,85.09,$5.46,15.58
2017-06-30,83.22,$5.83,14.28
2017-03-31,79.73,$5.68,14.04
2016-12-31,76.3,$4.82,15.83
2016-09-30,71.93,$4.54,15.84
2016-06-30,75.49,$4.13,18.28
2016-03-31,68.51,$3.90,17.57
2015-12-31,60.11,$4.06,14.81
2015-09-30,59.7,$5.29,11.29
2015-06-30,54.93,$4.70,11.69
2015-03-31,58.84,$4.79,12.28
2014-12-31,62.43,$3.96,15.77
2014-09-30,54.54,$3.41,15.99
2014-06-30,55.33,$3.13,17.68
2013-12-31,46.33,$3.77,12.29
2013-09-30,45.59,$3.54,12.88
2013-06-30,45.85,$4.25,10.79
2013-03-31,46.3,$4.96,9.34
2012-12-31,40.31,$4.48,9.0
2014-03-31,52.32,$4.92,10.63
2012-09-30,39.83,$3.96,10.06
2012-06-30,39.02,$3.72,10.49
2012-03-31,35.84,$3.76,9.53
2011-12-31,35.09,$3.81,9.21
2011-09-30,31.23,$3.44,9.08
2010-12-31,27.87,$3.75,7.43
2010-09-30,27.9,$3.57,7.82
2010-06-30,27.38,$3.80,7.2
2010-03-31,26.48,$4.25,6.23
2009-12-31,25.58,$3.38,7.57
2011-06-30,31.5,$3.75,8.4
2009-09-30,20.37,$3.60,5.66
