Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,163.38,,25.06
2024-06-30,182.15,$6.52,27.94
2023-12-31,139.53,$5.80,24.06
2023-09-30,130.71,$5.21,25.09
2023-06-30,119.56,$5.55,21.54
2023-03-31,103.61,$5.17,20.04
2022-12-31,88.13,$5.21,16.92
2024-03-31,150.76,$5.39,27.96
2022-09-30,95.54,$5.04,18.97
2022-06-30,108.84,$5.38,20.25
2022-03-31,138.91,$5.53,25.13
2021-12-31,144.69,$5.61,25.78
2021-09-30,133.52,$5.19,25.72
2021-06-30,121.95,$4.61,26.44
2021-03-31,103.01,$3.76,27.43
2020-12-31,87.53,$2.94,29.82
2020-09-30,73.2,$2.59,28.29
2020-06-30,70.82,$2.27,31.15
2020-03-31,58.03,$2.48,23.42
2019-12-31,66.89,$2.46,27.2
2019-09-30,60.99,$2.33,26.17
2019-06-30,54.08,$2.48,21.83
2019-03-31,58.78,$1.99,29.48
2018-12-31,52.19,$2.19,23.88
2018-09-30,60.29,$1.33,45.36
2018-06-30,56.4,$1.15,48.85
2018-03-31,51.8,$1.18,43.97
2017-12-31,52.61,$0.89,59.15
2017-09-30,48.63,$1.47,33.09
2017-06-30,46.43,$1.34,34.62
2016-12-31,39.58,$1.39,28.44
2016-09-30,40.16,$1.37,29.39
2016-06-30,35.14,$1.39,25.27
2016-03-31,38.1,$1.33,28.71
2015-12-31,38.86,$1.27,30.54
2017-03-31,42.34,$1.18,35.9
2015-09-30,31.82,$1.14,27.95
2015-06-30,26.97,$1.06,25.53
2015-03-31,27.7,$1.06,26.15
2014-12-31,26.5,$1.05,25.2
2014-09-30,29.39,$0.95,30.82
2014-06-30,29.2,$0.97,30.17
2014-03-31,27.92,$0.96,29.17
2013-12-31,28.07,$0.95,29.44
2013-09-30,21.94,$0.92,23.81
2013-06-30,22.05,$0.87,25.46
2013-03-31,19.89,$0.84,23.74
2012-12-31,17.72,$0.81,21.92
2012-09-30,18.9,$0.80,23.67
2012-06-30,14.53,$0.84,17.23
2012-03-31,16.06,$0.83,19.47
2011-12-31,16.18,$0.78,20.69
2011-09-30,12.9,$0.77,16.71
2011-06-30,12.68,$0.73,17.34
2011-03-31,14.7,$0.68,21.53
2010-12-31,14.88,$0.66,22.61
2010-09-30,13.17,$0.62,21.38
2010-06-30,11.15,$0.58,19.33
2010-03-31,14.21,$0.55,25.83
2009-12-31,15.53,$0.51,30.4
