Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data,Starbucks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,94.57,,26.49
2024-06-30,77.38,$3.57,21.68
2024-03-31,90.16,$3.63,24.84
2023-12-31,94.16,$3.74,25.18
2023-09-30,89.02,$3.58,24.87
2023-06-30,96.11,$3.28,29.3
2023-03-31,100.53,$3.08,32.64
2022-12-31,95.29,$2.87,33.2
2022-09-30,80.48,$2.82,28.54
2022-06-30,72.55,$3.55,20.44
2022-03-31,85.8,$3.73,23.0
2021-12-31,109.76,$3.71,29.58
2021-09-30,103.06,$3.55,29.03
2021-06-30,104.06,$2.39,43.54
2021-03-31,101.28,$0.84,120.57
2020-12-31,98.73,$0.56,176.31
2020-09-30,78.92,$0.77,102.49
2020-06-30,67.23,$1.11,60.57
2020-03-31,59.74,$2.81,21.26
2019-12-31,79.52,$3.06,25.99
2019-09-30,79.58,$2.93,27.16
2019-06-30,75.16,$2.82,26.65
2019-03-31,66.65,$2.31,28.85
2018-12-31,57.44,$2.25,25.53
2018-09-30,50.43,$3.21,15.71
2018-06-30,43.04,$3.19,13.49
2018-03-31,50.74,$3.05,16.63
2017-12-31,50.06,$3.03,16.52
2017-09-30,46.57,$1.97,23.64
2017-06-30,50.33,$1.97,25.55
2017-03-31,50.19,$2.01,24.97
2016-12-31,47.51,$1.95,24.36
2016-09-30,46.12,$1.90,24.27
2016-06-30,48.48,$1.79,27.09
2016-03-31,50.49,$1.69,29.88
2015-12-31,50.61,$1.63,31.05
2015-09-30,47.76,$1.82,26.24
2015-06-30,44.93,$1.78,25.31
2015-03-31,39.55,$1.70,23.26
2014-12-31,34.14,$1.65,20.69
2014-09-30,31.27,$1.36,23.08
2014-06-30,31.96,$1.29,24.87
2014-03-31,30.19,$1.23,24.65
2013-12-31,32.14,$1.20,26.78
2013-09-30,31.45,$1.13,27.84
2013-06-30,26.69,$1.05,25.54
2013-03-31,23.13,$0.99,23.48
2012-12-31,21.7,$0.93,23.33
2012-09-30,20.43,$0.90,22.83
2012-06-30,21.4,$0.90,23.78
2012-03-31,22.36,$0.87,25.85
2011-12-31,18.35,$0.84,21.97
2011-09-30,14.81,$0.81,18.29
2011-06-30,15.63,$0.76,20.56
2011-03-31,14.57,$0.72,20.37
2010-12-31,12.62,$0.69,18.42
2010-09-30,9.99,$0.62,16.11
2010-06-30,9.45,$0.54,17.67
2010-03-31,9.4,$0.50,18.8
2009-12-31,8.93,$0.38,23.82
