Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,312.85,,22.56
2024-06-30,275.31,$13.87,19.85
2024-03-31,291.2,$13.66,21.32
2023-12-31,235.26,$5.18,45.42
2023-09-30,222.69,$19.62,11.35
2023-06-30,237.24,$17.85,13.29
2023-03-31,229.48,$17.74,12.94
2022-12-31,231.29,$15.11,15.31
2022-09-30,193.05,$13.41,14.4
2022-06-30,182.34,$14.28,12.77
2022-03-31,191.87,$13.44,14.28
2021-12-31,202.72,$14.59,13.89
2021-09-30,207.37,$15.22,13.62
2021-06-30,223.74,$14.89,15.03
2021-03-31,236.53,$12.65,18.7
2020-12-31,206.16,$11.99,17.19
2020-09-30,190.58,$10.60,17.98
2020-06-30,155.4,$11.21,13.86
2020-03-31,120.37,$13.62,8.84
2019-12-31,157.95,$14.41,10.96
2019-09-30,142.54,$16.07,8.87
2019-06-30,148.8,$16.38,9.08
2019-03-31,136.13,$15.43,8.82
2018-12-31,114.39,$13.19,8.67
2018-09-30,124.06,$7.91,15.68
2018-06-30,112.08,$6.34,17.68
2018-03-31,135.59,$5.55,24.43
2017-12-31,146.82,$5.95,24.67
2017-09-30,138.76,$9.85,14.09
2017-06-30,133.03,$8.86,15.02
2017-03-31,123.17,$8.73,14.11
2016-12-31,110.59,$8.24,13.42
2016-09-30,102.92,$6.91,14.89
2016-06-30,89.57,$7.33,12.22
2016-03-31,86.82,$7.55,11.5
2015-12-31,68.81,$7.82,8.8
2015-09-30,84.06,$9.34,9.0
2015-06-30,100.8,$9.52,10.59
2015-03-31,105.93,$9.33,11.35
2014-12-31,109.54,$9.02,12.14
2014-09-30,99.74,$8.90,11.21
2014-06-30,115.99,$8.48,13.68
2014-03-31,111.54,$8.25,13.52
2013-12-31,105.06,$7.91,13.28
2013-09-30,98.55,$7.61,12.95
2013-06-30,80.04,$7.57,10.57
2013-03-31,85.11,$7.84,10.86
2012-12-31,79.28,$8.73,9.08
2012-09-30,67.13,$9.57,7.01
2012-06-30,70.21,$10.06,6.98
2012-03-31,86.62,$10.19,8.5
2011-12-31,63.31,$9.56,6.62
2011-09-30,58.49,$8.54,6.85
2011-06-30,73.77,$7.63,9.67
2011-03-31,77.95,$6.28,12.41
2010-12-31,78.04,$5.28,14.78
2010-09-30,64.08,$4.80,13.35
2010-06-30,45.92,$3.84,11.96
2010-03-31,43.57,$2.87,15.18
2009-12-31,32.15,$2.16,14.89
