Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,67.45,,40.27
2024-06-30,67.37,$1.68,40.22
2024-03-31,57.58,$1.64,35.22
2023-12-31,49.39,$1.56,31.76
2023-09-30,41.75,$1.55,26.94
2023-06-30,42.13,$1.54,27.44
2023-03-31,40.42,$1.55,26.16
2022-12-31,37.56,$1.56,24.08
2022-09-30,32.94,$1.49,22.11
2022-06-30,31.58,$1.39,22.8
2021-12-31,42.66,$1.27,33.59
2021-09-30,35.63,$1.19,30.0
2021-06-30,33.22,$1.19,27.98
2021-03-31,31.97,$1.17,27.26
2020-12-31,31.61,$1.12,28.23
2022-03-31,36.85,$1.03,35.78
2020-09-30,26.12,$0.95,27.56
2020-06-30,23.06,$0.90,25.69
2020-03-31,17.49,$0.92,19.07
2019-12-31,25.88,$0.94,27.61
2019-09-30,23.02,$0.95,24.17
2019-06-30,22.83,$0.98,23.42
2019-03-31,22.42,$0.97,23.11
2018-12-31,19.19,$0.96,19.93
2018-09-30,22.2,$0.61,36.7
2018-06-30,20.53,$0.57,35.86
2018-03-31,20.24,$0.55,37.14
2017-12-31,20.59,$0.51,40.18
2017-09-30,19.81,$0.79,25.23
2017-06-30,17.24,$0.74,23.21
2017-03-31,16.58,$0.71,23.52
2016-12-31,15.62,$0.65,23.94
2016-09-30,15.06,$0.62,24.19
2016-06-30,13.27,$0.61,21.84
2016-03-31,13.35,$0.59,22.82
2015-12-31,12.03,$0.60,19.96
2015-09-30,11.7,$0.60,19.59
2015-06-30,13.28,$0.58,22.99
2015-03-31,13.47,$0.57,23.47
2014-12-31,12.27,$0.55,22.16
2014-09-30,11.36,$0.53,21.38
2014-06-30,10.93,$0.51,21.33
2014-03-31,10.38,$0.50,20.97
2013-12-31,10.08,$0.49,20.56
2013-09-30,8.72,$0.47,18.66
2013-06-30,8.76,$0.46,19.21
2013-03-31,8.38,$0.45,18.84
2012-12-31,7.26,$0.42,17.12
2012-09-30,6.59,$0.40,16.37
2012-06-30,6.14,$0.39,15.78
2012-03-31,6.67,$0.39,17.2
2011-12-31,5.05,$0.38,13.25
2011-09-30,4.54,$0.39,11.71
2011-06-30,6.01,$0.39,15.55
2011-03-31,6.05,$0.37,16.24
2010-12-31,5.87,$0.35,16.65
2010-09-30,5.44,$0.32,16.88
2010-06-30,4.37,$0.28,15.38
2010-03-31,4.69,$0.25,19.12
2009-12-31,5.13,$0.23,22.4
