Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,76.88,,10.43
2024-06-30,89.21,$7.37,12.1
2024-03-31,101.63,$7.30,13.92
2023-12-31,90.36,$5.98,15.11
2023-09-30,91.39,$0.08,1142.39
2023-06-30,104.17,$-0.16,0.0
2023-03-31,110.13,$-2.14,0.0
2022-12-31,81.16,$-3.71,0.0
2022-09-30,62.03,$-5.54,0.0
2022-06-30,56.07,$-5.72,0.0
2022-03-31,78.47,$-5.73,0.0
2021-12-31,83.69,$-6.67,0.0
2021-09-30,83.4,$-7.66,0.0
2021-06-30,120.35,$-13.31,0.0
2021-03-31,123.37,$-18.13,0.0
2020-12-31,111.03,$-19.37,0.0
2020-09-30,70.67,$-17.52,0.0
2020-06-30,73.3,$-10.45,0.0
2020-03-31,59.23,$-3.60,0.0
2019-12-31,135.47,$1.15,117.8
2019-09-30,105.17,$6.24,16.85
2019-06-30,118.79,$7.71,15.41
2019-03-31,113.37,$8.27,13.71
2018-12-31,93.41,$5.30,17.63
2018-09-30,119.11,$5.66,21.04
2018-06-30,156.03,$5.00,31.21
2018-03-31,169.37,$4.29,39.48
2017-12-31,156.11,$7.27,21.47
2017-09-30,137.44,$3.62,37.97
2017-06-30,123.31,$2.67,46.18
2017-03-31,104.95,$2.63,39.9
2016-12-31,78.82,$2.38,33.12
2016-09-30,88.25,$2.12,41.63
2016-06-30,81.7,$3.02,27.05
2016-03-31,83.75,$2.89,28.98
2015-12-31,61.62,$1.71,36.04
2015-09-30,46.96,$1.92,24.46
2015-06-30,86.82,$3.07,28.28
2015-03-31,110.27,$4.51,24.45
2014-12-31,129.04,$7.17,18.0
2014-09-30,160.02,$8.20,19.51
2014-06-30,176.44,$8.11,21.76
2014-03-31,187.7,$7.39,25.4
2013-12-31,163.18,$7.17,22.76
2013-09-30,129.59,$6.17,21.0
2013-06-30,104.21,$5.49,18.98
2013-03-31,101.19,$5.58,18.13
2012-12-31,90.21,$4.81,18.75
2012-09-30,86.38,$5.23,16.52
2012-06-30,77.2,$5.13,15.05
2012-03-31,92.5,$4.73,19.56
2011-12-31,81.47,$4.89,16.66
2011-09-30,80.93,$4.28,18.91
2011-06-30,100.63,$3.00,33.54
2011-03-31,88.85,$2.45,36.26
2010-12-31,72.55,$1.28,56.68
2010-09-30,56.26,$0.33,170.48
2010-06-30,49.32,$0.88,56.04
2010-03-31,48.88,$0.67,72.96
2009-12-31,37.54,$0.15,250.25
