MGM Resorts PE Ratio Historical Data,MGM Resorts PE Ratio Historical Data,MGM Resorts PE Ratio Historical Data,MGM Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,37.59,,14.18
2024-06-30,44.44,$2.65,16.77
2024-03-31,47.21,$2.60,18.16
2023-12-31,44.68,$3.17,14.09
2023-09-30,36.76,$2.94,12.5
2023-06-30,43.92,$1.03,42.64
2023-03-31,44.42,$4.68,9.49
2022-12-31,33.53,$3.38,9.92
2022-09-30,29.72,$2.92,10.18
2022-06-30,28.95,$7.14,4.05
2022-03-31,41.93,$3.08,13.61
2021-12-31,44.87,$2.45,18.31
2021-09-30,43.14,$1.30,33.18
2021-06-30,42.63,$-2.55,0.0
2021-03-31,37.97,$-4.36,0.0
2020-12-31,31.49,$-2.03,0.0
2020-09-30,21.74,$2.80,7.76
2020-06-30,16.79,$3.80,4.42
2020-03-31,11.79,$5.55,2.12
2019-12-31,32.97,$3.96,8.32
2019-09-30,27.36,$-0.01,0.0
2019-06-30,28.07,$0.33,85.05
2019-03-31,25.08,$0.46,54.53
2018-12-31,23.6,$0.79,29.87
2018-09-30,27.02,$3.27,8.26
2018-06-30,27.98,$3.27,8.56
2018-03-31,33.63,$3.42,9.83
2017-12-31,31.96,$3.40,9.4
2017-09-30,31.09,$1.02,30.48
2017-06-30,29.75,$1.69,17.6
2017-03-31,25.96,$2.16,12.02
2016-12-31,27.2,$1.92,14.17
2016-09-30,24.56,$0.50,49.12
2016-06-30,21.35,$-0.31,0.0
2016-03-31,20.23,$-0.97,0.0
2015-12-31,21.44,$-0.76,0.0
2015-09-30,17.41,$-0.08,0.0
2015-06-30,17.22,$-0.24,0.0
2015-03-31,19.84,$-0.20,0.0
2014-12-31,20.17,$-0.32,0.0
2014-09-30,21.49,$0.30,71.65
2014-06-30,24.91,$0.27,92.26
2014-03-31,24.4,$-0.13,0.0
2013-12-31,22.19,$-0.33,0.0
2013-09-30,19.29,$-2.75,0.0
2013-06-30,13.95,$-3.05,0.0
2013-03-31,12.41,$-3.16,0.0
2012-12-31,10.98,$-3.40,0.0
2012-09-30,10.14,$-1.15,0.0
2012-06-30,10.53,$5.44,1.94
2011-12-31,9.84,$5.56,1.77
2011-09-30,8.77,$5.50,1.59
2011-06-30,12.46,$5.31,2.35
2011-03-31,12.41,$-1.63,0.0
2010-12-31,14.01,$-3.45,0.0
2012-03-31,12.85,$-3.38,0.0
2010-09-30,10.64,$-3.92,0.0
2010-06-30,9.1,$-4.90,0.0
2010-03-31,11.32,$-3.50,0.0
2009-12-31,8.61,$-2.90,0.0
