Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,136.73,,44.98
2024-06-30,148.29,$3.04,48.78
2024-03-31,112.73,$2.63,42.86
2023-12-31,108.3,$2.73,39.67
2023-09-30,100.14,$3.05,32.83
2023-06-30,110.86,$3.37,32.9
2023-03-31,106.93,$3.80,28.14
2022-12-31,86.79,$4.22,20.57
2022-09-30,74.58,$4.47,16.68
2022-06-30,88.76,$4.78,18.57
2022-03-31,117.05,$5.38,21.76
2021-12-31,161.75,$5.55,29.14
2021-09-30,107.91,$5.31,20.32
2021-06-30,132.3,$5.11,25.89
2021-03-31,120.08,$4.40,27.29
2020-12-31,118.23,$4.28,27.62
2020-09-30,78.29,$3.98,19.67
2020-06-30,83.17,$3.52,23.63
2020-03-31,53.23,$3.02,17.63
2019-12-31,66.91,$2.67,25.06
2019-09-30,56.74,$2.71,20.94
2019-06-30,46.86,$2.59,18.09
2019-03-31,38.88,$2.56,15.19
2018-12-31,30.56,$2.37,12.89
2018-09-30,35.92,$1.04,34.54
2018-06-30,36.9,$0.93,39.68
2018-03-31,44.21,$1.28,34.54
2017-12-31,40.41,$1.27,31.82
2017-09-30,35.93,$2.14,16.79
2017-06-30,28.88,$1.93,14.96
2017-03-31,29.85,$-0.04,0.0
2016-12-31,24.32,$-0.22,0.0
2016-09-30,20.61,$-0.55,0.0
2016-06-30,18.76,$-0.52,0.0
2016-03-31,20.5,$1.06,19.34
2015-12-31,19.57,$0.34,57.55
2015-09-30,17.0,$0.72,23.61
2015-06-30,18.15,$0.85,21.35
2014-12-31,18.51,$0.37,50.02
2014-09-30,18.08,$0.94,19.23
2014-06-30,18.22,$0.71,25.66
2014-03-31,18.43,$0.53,34.77
2013-12-31,16.32,$0.81,20.15
2015-03-31,17.68,$0.75,23.58
2013-09-30,15.31,$0.51,30.01
2013-06-30,16.28,$0.61,26.69
2013-03-31,15.03,$0.82,18.33
2012-12-31,15.65,$0.94,16.65
2012-09-30,13.17,$1.59,8.29
2012-06-30,13.03,$1.45,8.98
2012-03-31,15.65,$1.35,11.59
2011-12-31,12.63,$1.61,7.84
2011-09-30,10.2,$1.32,7.73
2011-06-30,13.71,$1.73,7.93
2011-03-31,16.5,$1.89,8.73
2010-12-31,13.01,$1.72,7.56
2010-09-30,10.32,$1.54,6.7
2010-06-30,9.03,$0.92,9.82
2010-03-31,10.35,$-0.02,0.0
2009-12-31,9.94,$-0.79,0.0
