Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,82.45,,61.53
2024-06-30,75.36,$1.34,56.24
2024-03-31,73.84,$-10.23,0.0
2023-12-31,59.48,$-11.24,0.0
2023-09-30,54.25,$-40.94,0.0
2023-06-30,53.18,$-39.77,0.0
2023-03-31,52.32,$-28.18,0.0
2022-12-31,64.78,$-28.22,0.0
2022-09-30,71.67,$1.53,46.84
2022-06-30,86.46,$1.38,62.65
2022-03-31,94.27,$1.48,63.7
2021-12-31,101.94,$0.68,149.91
2021-09-30,113.22,$0.37,305.99
2021-06-30,131.41,$0.14,938.66
2021-03-31,130.08,$-0.38,0.0
2020-12-31,130.52,$0.24,543.81
2020-09-30,135.5,$-0.18,0.0
2020-06-30,123.13,$0.08,1539.1
2020-03-31,111.41,$0.52,214.24
2019-12-31,127.01,$0.95,133.7
2019-09-30,120.92,$2.12,57.04
2019-06-30,111.45,$2.30,48.46
2019-03-31,102.45,$2.47,41.48
2018-12-31,92.59,$2.56,36.17
2018-09-30,98.18,$4.58,21.44
2018-06-30,95.17,$4.29,22.18
2018-03-31,86.18,$4.05,21.28
2017-12-31,83.93,$3.92,21.41
2017-09-30,83.05,$1.62,51.27
2017-06-30,75.71,$2.00,37.85
2017-03-31,70.35,$1.97,35.71
2016-12-31,66.6,$1.73,38.49
2016-09-30,67.59,$1.45,46.61
2016-06-30,64.43,$1.51,42.67
2016-03-31,55.17,$1.98,27.86
2015-12-31,52.59,$2.20,23.9
2015-09-30,57.96,$2.53,22.91
2015-06-30,53.2,$2.43,21.89
2015-03-31,58.35,$2.21,26.4
2014-12-31,53.11,$2.35,22.6
2014-09-30,47.88,$1.92,24.94
2014-06-30,46.36,$1.99,23.3
2014-03-31,45.07,$1.73,26.05
2013-12-31,45.06,$1.69,26.66
2013-09-30,38.81,$1.90,20.43
2013-06-30,35.63,$1.60,22.27
2013-03-31,32.79,$1.74,18.84
2012-12-31,28.64,$1.54,18.6
2012-09-30,25.55,$1.47,17.38
2012-06-30,27.71,$1.62,17.11
2012-03-31,26.77,$1.52,17.61
2011-12-31,21.36,$1.53,13.96
2011-09-30,19.5,$1.50,13.0
2011-06-30,24.63,$1.39,17.72
2011-03-31,26.11,$1.22,21.4
2010-12-31,21.84,$1.17,18.67
2010-09-30,21.6,$0.67,32.23
2010-06-30,21.31,$0.69,30.89
2010-03-31,18.59,$0.77,24.15
2009-12-31,18.55,$0.69,26.89
