Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,483.34,,36.95
2024-06-30,440.51,$13.08,33.68
2024-03-31,480.19,$12.58,38.17
2023-12-31,424.63,$11.83,35.89
2023-09-30,393.59,$11.48,34.29
2023-06-30,390.43,$10.67,36.59
2023-03-31,360.2,$10.01,35.98
2022-12-31,344.12,$10.22,33.67
2022-09-30,280.93,$10.01,28.06
2022-06-30,311.23,$9.87,31.53
2022-03-31,352.07,$9.61,36.64
2021-12-31,353.51,$8.76,40.35
2021-09-30,341.63,$8.13,42.02
2021-06-30,358.31,$7.20,49.77
2021-03-31,349.04,$6.53,53.45
2020-12-31,349.47,$6.38,54.78
2020-09-30,330.71,$6.67,49.58
2020-06-30,288.79,$7.23,39.94
2020-03-31,235.57,$7.82,30.12
2019-12-31,290.8,$7.94,36.62
2019-09-30,264.16,$6.74,39.19
2019-06-30,257.0,$6.49,39.6
2019-03-31,228.43,$4.70,48.6
2018-12-31,183.02,$4.24,43.17
2018-09-30,215.72,$4.47,48.26
2017-12-31,146.05,$3.65,40.01
2017-09-30,136.03,$4.30,31.64
2017-06-30,116.8,$4.04,28.91
2017-03-31,107.95,$3.83,28.18
2016-12-31,98.9,$3.69,26.8
2016-09-30,97.3,$3.62,26.88
2016-06-30,84.01,$3.40,24.71
2016-03-31,89.97,$3.32,27.1
2015-12-31,92.5,$3.35,27.61
2015-09-30,85.48,$3.25,26.3
2015-06-30,88.52,$3.26,27.15
2015-03-31,81.66,$3.25,25.12
2014-12-31,81.28,$3.09,26.31
2014-09-30,69.63,$2.92,23.85
2014-06-30,69.11,$2.78,24.89
2014-03-31,70.16,$2.67,26.25
2013-12-31,78.45,$2.57,30.57
2013-09-30,63.12,$2.53,24.93
2013-06-30,53.85,$3.31,16.29
2013-03-31,50.66,$3.23,15.7
2012-12-31,45.97,$3.16,14.56
2018-06-30,190.2,$3.21,59.29
2012-09-30,42.22,$1.72,24.5
2012-06-30,40.19,$1.67,24.08
2012-03-31,39.27,$2.52,15.56
2011-12-31,34.8,$2.46,14.12
2011-09-30,29.59,$2.88,10.28
2018-03-31,169.28,$2.63,64.34
2011-06-30,28.1,$1.62,17.4
2011-03-31,23.46,$1.49,15.77
2010-12-31,20.87,$1.41,14.86
2010-09-30,20.85,$1.32,15.81
2010-06-30,18.56,$1.28,14.55
2010-03-31,23.61,$1.19,19.79
2009-12-31,23.78,$1.13,21.1
