Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,36.61,,23.32
2024-06-30,33.4,$1.57,21.27
2024-03-31,30.67,$1.55,19.79
2023-12-31,33.32,$1.54,21.64
2023-09-30,31.57,$1.18,26.75
2023-06-30,31.27,$0.96,32.57
2022-12-31,35.66,$1.01,35.31
2022-09-30,35.82,$1.28,27.98
2022-06-30,35.39,$1.48,23.91
2022-03-31,37.7,$1.70,22.18
2021-12-31,36.3,$1.60,22.69
2023-03-31,35.28,$1.24,28.45
2021-09-30,33.64,$1.21,27.8
2021-06-30,34.52,$1.15,30.01
2021-03-31,33.49,$1.13,29.63
2020-12-31,30.9,$1.11,27.83
2020-09-30,26.51,$1.03,25.73
2019-12-31,27.34,$0.88,31.07
2019-09-30,25.66,$0.78,32.9
2019-06-30,27.01,$0.68,39.72
2019-03-31,26.0,$0.57,45.61
2018-12-31,23.69,$0.68,34.84
2020-03-31,23.04,$1.37,16.82
2018-09-30,21.27,$4.07,5.23
2018-06-30,111.98,$5.07,22.09
2018-03-31,108.65,$5.82,18.67
2017-12-31,89.08,$5.90,15.1
2017-09-30,81.2,$3.99,20.35
2017-06-30,83.62,$4.17,20.05
2017-03-31,89.87,$4.54,19.8
2016-12-31,83.22,$3.79,21.96
2016-09-30,83.81,$3.85,21.77
2016-06-30,88.69,$3.53,25.12
2020-06-30,27.13,$3.19,8.51
2016-03-31,82.07,$4.12,19.92
2015-12-31,85.54,$3.97,21.55
2015-09-30,72.55,$3.77,19.25
2015-06-30,66.91,$3.68,18.18
2015-03-31,72.03,$3.60,20.01
2014-12-31,65.79,$3.57,18.43
2014-09-30,59.03,$3.58,16.49
2014-06-30,53.77,$3.63,14.81
2014-03-31,49.99,$3.33,15.01
2013-12-31,44.72,$3.06,14.61
2013-09-30,40.81,$3.09,13.21
2013-06-30,41.47,$2.92,14.2
2013-03-31,42.05,$2.99,14.06
2012-12-31,39.22,$2.96,13.25
2012-09-30,39.23,$2.92,13.44
2012-06-30,38.26,$2.79,13.71
2012-03-31,34.89,$2.73,12.78
2011-12-31,33.95,$2.75,12.35
2011-09-30,33.08,$2.47,13.39
2011-06-30,35.46,$2.36,15.03
2011-03-31,31.18,$2.33,13.38
2010-12-31,29.31,$2.18,13.44
2010-09-30,29.41,$2.13,13.81
2010-06-30,30.74,$2.12,14.5
2010-03-31,28.73,$2.00,14.36
2009-12-31,23.02,$2.17,10.61
