Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,523.21,,34.15
2024-06-30,435.95,$15.32,28.46
2024-03-31,476.56,$14.30,33.33
2023-12-31,464.2,$13.48,34.44
2023-09-30,434.76,$30.48,14.26
2023-06-30,448.23,$30.19,14.85
2023-03-31,452.12,$30.91,14.63
2022-12-31,532.31,$42.55,12.51
2022-09-30,457.36,$35.72,12.8
2022-06-30,463.72,$36.25,12.79
2021-12-31,372.26,$43.62,8.53
2021-09-30,344.84,$28.45,12.12
2021-06-30,346.49,$27.92,12.41
2021-03-31,307.24,$27.39,11.22
2020-12-31,287.85,$19.97,14.41
2022-03-31,431.76,$23.15,18.65
2020-09-30,296.61,$14.62,20.29
2020-06-30,287.84,$14.22,20.24
2020-03-31,282.04,$13.27,21.25
2019-12-31,319.49,$13.18,24.24
2019-09-30,346.82,$17.67,19.63
2019-06-30,297.93,$18.72,15.91
2019-03-31,247.51,$17.59,14.07
2018-12-31,223.9,$16.74,13.38
2018-09-30,288.83,$15.69,18.41
2018-06-30,278.9,$12.83,21.74
2018-03-31,315.3,$12.05,26.17
2017-12-31,276.29,$11.47,24.09
2017-09-30,258.16,$13.42,19.24
2017-06-30,229.48,$13.09,17.53
2017-03-31,211.79,$12.79,16.56
2016-12-31,206.34,$12.19,16.93
2016-09-30,189.13,$11.72,16.14
2016-06-30,195.67,$11.12,17.6
2016-03-31,173.47,$11.01,15.76
2015-12-31,164.82,$10.46,15.76
2015-09-30,144.25,$10.23,14.1
2015-06-30,137.23,$9.85,13.93
2014-12-31,126.34,$9.74,12.97
2014-09-30,112.39,$9.38,11.98
2014-06-30,101.48,$9.53,10.65
2014-03-31,104.06,$9.30,11.19
2013-12-31,96.17,$8.72,11.03
2015-03-31,138.56,$8.63,16.06
2013-09-30,79.51,$8.36,9.51
2013-06-30,68.66,$8.04,8.54
2013-03-31,57.73,$7.87,7.34
2012-12-31,55.16,$7.80,7.07
2012-09-30,53.76,$7.75,6.94
2012-06-30,51.21,$7.79,6.57
2012-03-31,48.57,$7.72,6.29
2011-12-31,46.12,$7.54,6.12
2011-09-30,40.76,$6.72,6.07
2011-06-30,53.66,$6.53,8.22
2011-03-31,48.15,$7.06,6.82
2010-12-31,44.84,$6.81,6.58
2010-09-30,41.65,$6.85,6.08
2010-06-30,37.08,$6.71,5.53
2010-03-31,44.32,$5.58,7.94
2009-12-31,37.48,$5.22,7.18
