Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,354.47,,25.28
2024-06-30,373.65,$14.02,26.65
2024-03-31,345.9,$16.06,21.54
2023-12-31,455.57,$19.82,22.99
2023-09-30,483.21,$24.12,20.03
2023-06-30,443.29,$26.80,16.54
2023-03-31,480.34,$24.62,19.51
2022-12-31,505.87,$22.04,22.95
2022-09-30,478.47,$22.05,21.7
2022-06-30,460.84,$24.50,18.81
2022-03-31,427.73,$23.57,18.15
2021-12-31,455.12,$22.67,20.08
2021-09-30,381.24,$20.71,18.41
2021-06-30,432.96,$18.92,22.88
2021-03-31,409.36,$28.12,14.56
2020-12-31,399.93,$25.29,15.81
2020-09-30,402.84,$31.20,12.91
2020-06-30,376.81,$26.29,14.33
2020-03-31,304.66,$19.48,15.64
2019-12-31,354.88,$20.08,17.67
2019-09-30,247.18,$18.82,13.13
2019-06-30,255.95,$18.33,13.96
2019-03-31,256.09,$12.78,20.04
2018-12-31,275.23,$12.15,22.65
2018-09-30,324.65,$10.86,29.89
2018-06-30,285.01,$9.65,29.53
2018-03-31,257.0,$12.72,20.2
2017-12-31,236.71,$16.68,14.19
2017-09-30,232.1,$12.71,18.26
2017-06-30,228.86,$12.25,18.68
2017-03-31,195.74,$9.85,19.87
2016-12-31,193.08,$3.92,49.25
2016-09-30,167.12,$7.27,22.99
2016-06-30,169.95,$6.38,26.64
2016-03-31,172.57,$7.17,24.07
2015-12-31,168.12,$8.43,19.94
2015-09-30,168.31,$8.70,19.35
2015-06-30,179.56,$8.46,21.22
2015-03-31,166.86,$7.80,21.39
2014-12-31,134.42,$7.33,18.34
2014-09-30,121.7,$6.20,19.63
2014-06-30,119.04,$6.66,17.87
2014-03-31,104.83,$7.10,14.77
2013-12-31,95.77,$7.70,12.44
2013-09-30,86.36,$9.08,9.51
2013-06-30,77.86,$9.39,8.29
2013-03-31,63.56,$8.92,7.13
2012-12-31,62.88,$7.46,8.43
2012-09-30,64.03,$7.47,8.57
2012-06-30,70.42,$7.52,9.36
2012-03-31,83.82,$8.07,10.39
2011-12-31,79.18,$8.44,9.38
2011-09-30,65.55,$7.87,8.33
2011-06-30,72.35,$7.52,9.62
2011-03-31,62.64,$6.81,9.2
2010-12-31,49.02,$6.47,7.58
2010-09-30,44.99,$7.32,6.15
2010-06-30,40.9,$6.78,6.03
2010-03-31,41.89,$6.45,6.49
2009-12-31,39.31,$6.15,6.39
