Norwegian Cruise Line Holdings PE Ratio Historical Data,Norwegian Cruise Line Holdings PE Ratio Historical Data,Norwegian Cruise Line Holdings PE Ratio Historical Data,Norwegian Cruise Line Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,17.89,,21.05
2024-06-30,18.79,$0.85,22.11
2024-03-31,20.93,$0.70,29.9
2023-12-31,20.04,$0.28,71.57
2023-09-30,16.48,$-0.61,0.0
2023-06-30,21.77,$-2.02,0.0
2023-03-31,13.45,$-3.44,0.0
2022-12-31,12.24,$-7.07,0.0
2022-09-30,11.36,$-8.22,0.0
2022-06-30,11.12,$-9.46,0.0
2021-12-31,20.74,$-12.40,0.0
2021-09-30,26.71,$-10.90,0.0
2021-06-30,29.41,$-10.96,0.0
2021-03-31,27.59,$-11.52,0.0
2020-12-31,25.43,$-10.35,0.0
2022-03-31,21.88,$-16.64,0.0
2020-09-30,17.11,$-13.73,0.0
2020-06-30,16.43,$-9.14,0.0
2020-03-31,10.96,$-5.04,0.0
2019-12-31,58.41,$4.30,13.58
2019-09-30,51.77,$4.44,11.66
2019-06-30,53.63,$4.46,12.02
2019-03-31,54.96,$4.36,12.61
2018-12-31,42.39,$4.27,9.93
2018-09-30,57.43,$4.00,14.36
2018-06-30,47.25,$3.63,13.02
2018-03-31,52.97,$3.49,15.18
2017-12-31,53.25,$3.31,16.09
2017-09-30,54.05,$3.20,16.89
2017-06-30,54.29,$2.96,18.34
2017-03-31,50.73,$2.73,18.58
2016-12-31,42.53,$2.78,15.3
2016-09-30,37.7,$2.63,14.33
2016-06-30,39.84,$2.22,17.95
2016-03-31,55.29,$2.27,24.36
2015-12-31,58.6,$1.85,31.68
2015-09-30,57.3,$1.56,36.73
2015-06-30,56.04,$1.44,38.92
2015-03-31,54.01,$1.29,41.87
2014-12-31,46.76,$1.63,28.69
2014-09-30,36.02,$1.92,18.76
2014-06-30,31.7,$1.77,17.91
2014-03-31,32.27,$1.19,27.12
2013-12-31,35.47,$0.46,77.11
