Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,167.35,,21.26
2024-06-30,151.8,$7.87,19.29
2024-03-31,156.49,$7.85,19.94
2023-12-31,140.81,$6.98,20.17
2023-09-30,105.12,$6.75,15.57
2023-06-30,110.53,$6.58,16.8
2023-03-31,105.4,$6.60,15.97
2022-12-31,108.91,$6.52,16.7
2022-09-30,81.95,$5.99,13.68
2022-06-30,85.21,$6.41,13.29
2022-03-31,116.27,$6.78,17.15
2021-12-31,139.47,$6.84,20.39
2021-09-30,112.24,$6.17,18.19
2021-06-30,110.24,$4.58,24.07
2021-03-31,95.04,$3.53,26.92
2020-12-31,71.24,$3.60,19.79
2020-09-30,52.24,$4.40,11.87
2020-06-30,54.07,$5.69,9.5
2020-03-31,43.38,$6.46,6.72
2019-12-31,116.04,$6.81,17.04
2019-09-30,119.61,$7.45,16.06
2019-06-30,121.05,$7.48,16.18
2019-03-31,136.47,$7.65,17.84
2018-12-31,124.43,$7.87,15.81
2018-09-30,129.5,$7.41,17.48
2018-06-30,123.3,$7.26,16.98
2018-03-31,110.43,$6.72,16.43
2017-12-31,121.35,$6.25,19.42
2017-09-30,112.46,$5.67,19.83
2017-06-30,111.71,$5.63,19.84
2017-03-31,117.48,$5.85,20.08
2016-12-31,120.18,$5.87,20.47
2016-09-30,138.79,$5.88,23.6
2016-06-30,144.31,$5.63,25.63
2016-03-31,137.07,$5.70,24.05
2015-12-31,127.2,$5.31,23.95
2015-09-30,119.19,$5.34,22.32
2015-06-30,111.34,$4.79,23.24
2015-03-31,124.86,$4.58,27.26
2014-12-31,115.39,$4.52,25.53
2014-09-30,103.43,$4.45,23.24
2014-06-30,103.8,$4.64,22.37
2014-03-31,95.66,$4.43,21.59
2013-12-31,88.05,$4.24,20.77
2013-09-30,85.1,$4.02,21.17
2013-06-30,89.98,$3.86,23.31
2013-03-31,89.77,$3.47,25.87
2012-12-31,88.88,$4.74,18.75
2012-09-30,84.72,$4.97,17.05
2012-06-30,86.29,$5.06,17.05
2012-03-31,80.24,$5.05,15.89
2011-12-31,70.53,$3.48,20.27
2011-09-30,59.63,$2.98,20.01
2011-06-30,62.59,$2.84,22.04
2011-03-31,57.3,$2.66,21.54
2010-12-31,52.81,$2.08,25.39
2010-09-30,48.83,$1.66,29.42
2010-06-30,42.24,$1.25,33.79
2010-03-31,43.6,$0.65,67.07
2009-12-31,41.12,$1.07,38.43
