IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,206.48,,27.03
2024-06-30,200.52,$7.64,26.25
2024-03-31,242.45,$7.62,31.82
2023-12-31,215.05,$7.73,27.82
2023-09-30,205.41,$8.66,23.72
2023-03-31,226.74,$7.72,29.37
2022-12-31,223.53,$7.71,28.99
2022-09-30,195.07,$7.55,25.84
2022-06-30,176.7,$7.01,25.21
2022-03-31,185.93,$6.71,27.71
2021-12-31,228.62,$6.22,36.76
2023-06-30,211.92,$6.15,34.46
2021-09-30,199.7,$5.65,35.35
2021-06-30,211.83,$5.51,38.45
2021-03-31,201.01,$5.10,39.41
2020-12-31,190.82,$4.95,38.55
2020-09-30,174.27,$4.89,35.64
2020-06-30,150.54,$4.89,30.79
2020-03-31,131.12,$5.44,24.1
2019-12-31,162.82,$5.55,29.34
2019-09-30,154.65,$5.56,27.81
2019-06-30,161.96,$5.56,29.13
2019-03-31,142.31,$5.46,26.06
2018-12-31,118.03,$5.29,22.31
2018-09-30,140.4,$5.23,26.84
2018-06-30,126.79,$4.94,25.67
2018-03-31,131.98,$4.64,28.44
2017-12-31,121.89,$4.36,27.96
2017-09-30,111.86,$3.90,28.68
2017-06-30,103.73,$3.73,27.81
2017-03-31,85.53,$3.64,23.5
2016-12-31,82.07,$3.54,23.18
2016-09-30,84.93,$3.67,23.14
2016-06-30,74.23,$3.78,19.64
2016-03-31,74.63,$3.68,20.28
2015-12-31,68.67,$3.63,18.92
2015-09-30,63.63,$3.52,18.08
2015-06-30,69.85,$3.38,20.66
2015-03-31,67.12,$3.37,19.92
2014-12-31,68.63,$3.44,19.95
2014-09-30,63.55,$3.49,18.21
2014-06-30,70.65,$3.39,20.84
2014-03-31,63.53,$3.27,19.43
2013-12-31,64.17,$3.10,20.7
2013-09-30,56.49,$0.83,68.07
2013-06-30,46.41,$0.65,71.39
2013-03-31,45.86,$0.54,84.93
2012-12-31,39.78,$0.42,94.71
2012-09-30,35.53,$2.44,14.56
2012-06-30,32.98,$2.42,13.63
2012-03-31,35.47,$2.37,14.97
2011-12-31,31.11,$2.33,13.35
2011-09-30,25.99,$2.26,11.5
2011-06-30,38.1,$2.15,17.72
2011-03-31,36.13,$2.04,17.71
2010-12-31,32.26,$1.91,16.89
2010-09-30,29.16,$1.81,16.11
2010-06-30,23.35,$1.71,13.65
2010-03-31,26.93,$1.56,17.26
2009-12-31,25.25,$1.39,18.17
