PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,131.65,,10.04
2024-06-30,110.1,$13.11,8.4
2024-03-31,120.4,$12.49,9.64
2023-12-31,102.85,$13.24,7.77
2023-09-30,73.64,$12.65,5.82
2023-06-30,77.09,$12.48,6.18
2022-12-31,44.95,$11.10,4.05
2022-09-30,36.9,$9.86,3.74
2022-06-30,38.84,$9.52,4.08
2022-03-31,40.93,$8.61,4.75
2021-12-31,55.65,$8.68,6.41
2023-03-31,57.71,$7.20,8.02
2021-09-30,44.58,$6.47,6.89
2021-06-30,52.83,$6.19,8.53
2021-03-31,50.63,$5.58,9.07
2020-12-31,41.51,$5.19,8.0
2020-09-30,44.42,$4.79,9.27
2020-06-30,32.57,$4.24,7.68
2020-03-31,21.28,$3.81,5.59
2019-12-31,36.85,$3.66,10.07
2019-09-30,34.61,$3.28,10.55
2019-06-30,29.85,$3.30,9.05
2019-03-31,26.31,$3.56,7.39
2018-12-31,24.35,$3.56,6.84
2018-09-30,23.11,$2.98,7.76
2018-06-30,26.73,$2.55,10.48
2018-03-31,27.34,$1.75,15.62
2017-12-31,30.73,$1.44,21.34
2017-09-30,25.2,$2.01,12.53
2017-06-30,22.54,$1.80,12.52
2017-03-31,21.55,$1.82,11.84
2016-12-31,16.76,$1.78,9.41
2016-09-30,18.18,$1.59,11.44
2016-06-30,17.6,$1.52,11.58
2016-03-31,16.82,$1.46,11.52
2015-12-31,15.94,$1.37,11.63
2015-09-30,16.79,$1.31,12.82
2015-06-30,17.86,$1.38,12.94
2015-03-31,19.62,$1.21,16.22
2014-12-31,18.87,$1.25,15.1
2014-09-30,15.47,$1.24,12.48
2014-06-30,17.61,$6.74,2.61
2014-03-31,16.72,$6.72,2.49
2013-12-31,17.71,$6.74,2.63
2013-09-30,14.3,$6.32,2.26
2013-06-30,16.35,$0.75,21.8
2013-03-31,17.44,$0.77,22.65
2012-12-31,15.65,$0.53,29.53
2012-09-30,13.36,$0.42,31.81
2012-06-30,9.22,$-0.22,0.0
2012-03-31,7.63,$-0.43,0.0
2011-12-31,5.44,$-0.84,0.0
2011-09-30,3.4,$-3.51,0.0
2011-03-31,6.38,$-2.97,0.0
2010-12-31,6.48,$-2.90,0.0
2010-09-30,7.55,$-2.77,0.0
2010-06-30,7.14,$-1.30,0.0
2010-03-31,9.7,$-2.24,0.0
2009-12-31,8.62,$-4.23,0.0
2009-09-30,9.47,$-4.07,0.0
