Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,151.82,,35.72
2024-06-30,139.15,$4.25,32.74
2024-03-31,132.31,$4.68,28.27
2023-12-31,136.25,$3.97,34.32
2023-09-30,119.74,$3.63,32.99
2023-06-30,128.79,$3.23,39.87
2023-03-31,119.43,$2.87,41.61
2022-12-31,120.93,$3.71,32.6
2022-09-30,114.36,$3.21,35.63
2022-06-30,120.05,$3.16,37.99
2022-03-31,124.68,$2.76,45.17
2021-12-31,129.81,$2.22,58.47
2021-09-30,139.81,$2.71,51.59
2021-06-30,141.2,$2.32,60.86
2021-03-31,132.73,$2.86,46.41
2020-12-31,140.63,$4.03,34.9
2020-09-30,127.54,$4.49,28.41
2020-06-30,129.15,$6.75,19.13
2020-03-31,97.97,$10.25,9.56
2019-12-31,105.15,$9.51,11.06
2019-09-30,95.67,$9.19,10.41
2019-06-30,99.03,$7.13,13.89
2019-03-31,99.39,$3.33,29.85
2018-12-31,77.17,$4.59,16.81
2018-09-30,117.84,$3.13,37.65
2018-06-30,137.92,$2.23,61.85
2018-03-31,118.57,$3.34,35.5
2017-12-31,102.75,$3.20,32.11
2017-09-30,115.46,$3.80,30.39
2017-06-30,103.39,$3.74,27.65
2017-03-31,87.55,$3.08,28.43
2016-12-31,77.03,$4.06,18.97
2016-09-30,83.52,$3.92,21.31
2016-06-30,74.09,$3.60,20.58
2016-03-31,64.66,$3.52,18.37
2015-12-31,67.21,$1.92,35.0
2015-09-30,66.26,$2.50,26.5
2015-06-30,65.04,$2.96,21.97
2015-03-31,57.52,$2.68,21.46
2014-12-31,45.98,$2.64,17.42
2014-09-30,34.83,$1.20,29.02
2014-06-30,35.08,$0.30,116.94
2014-03-31,28.37,$-0.03,0.0
2013-12-31,22.44,$-0.13,0.0
2013-09-30,24.99,$0.72,34.71
2013-06-30,22.48,$0.40,56.21
2013-03-31,17.31,$0.32,54.1
2012-12-31,14.2,$0.47,30.21
2012-09-30,12.41,0,0.0
2012-06-30,12.08,$0.18,67.1
2012-03-31,16.12,$0.21,76.77
2011-12-31,20.15,$-0.54,0.0
2011-09-30,20.0,$-0.89,0.0
2011-06-30,23.08,$-0.47,0.0
2011-03-31,19.1,$-0.84,0.0
2010-12-31,16.02,$-1.20,0.0
2010-09-30,16.09,$-0.48,0.0
2010-06-30,14.08,$-1.08,0.0
2010-03-31,18.25,$-2.09,0.0
2009-12-31,17.36,$-2.31,0.0
