Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,101.38,,11.51
2024-06-30,106.02,$8.81,12.03
2024-03-31,101.13,$12.42,8.14
2023-12-31,98.86,$14.89,6.64
2023-09-30,105.35,$12.92,8.15
2023-06-30,91.28,$12.94,7.05
2023-03-31,91.77,$10.19,9.01
2022-12-31,95.25,$10.52,9.05
2022-09-30,78.34,$9.83,7.97
2022-06-30,85.51,$11.62,7.36
2022-03-31,103.99,$12.65,8.22
2021-12-31,87.16,$13.69,6.37
2021-09-30,75.51,$15.91,4.75
2021-06-30,72.08,$13.47,5.35
2021-03-31,72.69,$14.57,4.99
2020-12-31,59.76,$7.59,7.87
2020-09-30,41.29,$3.37,12.25
2020-06-30,36.76,$-9.04,0.0
2020-03-31,36.15,$-11.08,0.0
2019-12-31,50.25,$-9.36,0.0
2019-09-30,49.0,$-9.40,0.0
2019-06-30,47.78,$3.61,13.24
2019-03-31,45.09,$2.03,22.21
2018-12-31,44.97,$1.56,28.83
2018-09-30,57.33,$1.60,35.83
2018-06-30,57.71,$-0.25,0.0
2018-03-31,60.81,$0.41,148.33
2017-12-31,54.84,$0.89,61.62
2017-09-30,56.39,$3.19,17.68
2017-06-30,60.2,$3.43,17.55
2017-03-31,63.57,$3.70,17.18
2016-12-31,57.59,$4.97,11.59
2016-09-30,46.92,$4.45,10.54
2016-06-30,46.56,$5.18,8.99
2016-03-31,44.33,$4.90,9.05
2015-12-31,53.02,$5.03,10.54
2015-09-30,56.6,$4.29,13.19
2015-06-30,67.46,$4.63,14.57
2015-03-31,63.05,$5.94,10.61
2014-12-31,69.3,$4.09,16.94
2014-09-30,63.96,$4.31,14.84
2014-06-30,57.2,$1.47,38.91
2014-03-31,59.89,$0.41,146.08
2013-12-31,61.61,$1.74,35.41
2013-09-30,56.75,$-3.21,0.0
2013-06-30,52.7,$-0.35,0.0
2013-03-31,54.77,$0.68,80.55
2012-12-31,53.73,$0.10,537.31
2012-09-30,49.37,$5.92,8.34
2012-06-30,46.01,$4.89,9.41
2012-03-31,49.98,$5.13,9.74
2011-12-31,41.61,$6.05,6.88
2011-09-30,42.24,$6.35,6.65
2011-06-30,49.76,$6.82,7.3
2011-03-31,52.04,$15.95,3.26
2010-12-31,46.99,$14.77,3.18
2010-09-30,42.26,$12.61,3.35
2010-06-30,34.99,$12.87,2.72
2010-03-31,43.66,$4.00,10.92
2009-12-31,45.06,$1.93,23.35
