American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,224.06,,42.12
2024-06-30,194.38,$5.32,36.54
2024-03-31,194.22,$4.42,43.94
2023-12-31,212.2,$3.18,66.73
2023-09-30,158.76,$1.53,103.77
2023-06-30,187.23,$2.07,90.45
2023-03-31,194.25,$3.00,64.75
2022-12-31,201.4,$3.84,52.45
2022-09-30,201.09,$6.30,31.92
2022-06-30,239.38,$6.08,39.37
2022-03-31,232.6,$5.78,40.24
2021-12-31,270.82,$5.67,47.76
2021-09-30,244.51,$5.50,44.46
2021-06-30,247.69,$4.96,49.94
2021-03-31,217.05,$4.31,50.36
2020-12-31,203.79,$3.79,53.77
2020-09-30,218.27,$4.23,51.6
2020-06-30,232.34,$4.31,53.91
2020-03-31,194.01,$4.27,45.44
2019-12-31,204.77,$4.23,48.41
2019-09-30,196.15,$3.59,54.64
2019-06-30,180.59,$3.30,54.72
2019-03-31,172.53,$3.03,56.94
2018-12-31,138.5,$2.77,50.0
2018-09-30,126.54,$2.66,47.57
2018-06-30,124.86,$2.52,49.55
2018-03-31,124.5,$2.63,47.34
2017-12-31,122.21,$2.67,45.77
2017-09-30,116.51,$2.63,44.3
2017-06-30,112.25,$2.49,45.08
2017-03-31,102.08,$2.06,49.55
2016-12-31,88.76,$1.97,45.06
2016-09-30,94.67,$1.98,47.81
2016-06-30,94.44,$1.61,58.66
2016-03-31,84.27,$1.54,54.72
2015-12-31,79.81,$1.41,56.6
2015-09-30,72.05,$1.35,53.37
2015-06-30,76.01,$1.67,45.52
2015-03-31,76.02,$1.95,38.98
2014-12-31,79.81,$2.01,39.71
2014-09-30,75.31,$1.84,40.93
2014-06-30,72.1,$1.79,40.28
2014-03-31,65.1,$1.46,44.59
2013-12-31,63.47,$1.38,45.99
2013-09-30,58.72,$1.47,39.94
2013-06-30,57.74,$1.60,36.09
2013-03-31,60.29,$1.47,41.01
2012-12-31,60.56,$1.60,37.85
2012-09-30,55.78,$1.77,31.51
2012-06-30,54.45,$1.15,47.35
2012-03-31,48.76,$1.32,36.94
2011-12-31,46.43,$0.99,46.9
2011-09-30,41.38,$0.69,59.97
2011-06-30,40.25,$0.96,41.92
2011-03-31,39.85,$0.92,43.32
2010-12-31,39.72,$0.85,46.73
2010-09-30,39.42,$0.81,48.67
2010-06-30,34.22,$0.72,47.53
2009-12-31,33.23,$0.62,53.6
2009-09-30,28.0,$0.70,39.99
