EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,33.51,,21.21
2024-06-30,36.79,$1.58,23.28
2024-03-31,36.74,$1.38,26.62
2023-12-31,38.14,$4.25,8.97
2023-09-30,39.88,$7.40,5.39
2023-06-30,40.28,$8.89,4.53
2023-03-31,31.1,$11.26,2.76
2022-12-31,32.82,$4.11,7.98
2022-09-30,39.4,$4.52,8.72
2022-06-30,33.14,$-2.72,0.0
2022-03-31,33.03,$-8.26,0.0
2021-12-31,20.82,$-4.36,0.0
2021-09-30,19.54,$-8.82,0.0
2021-06-30,21.25,$-5.62,0.0
2021-03-31,17.74,$-2.92,0.0
2020-12-31,12.14,$-7.38,0.0
2020-09-30,12.35,$-9.02,0.0
2020-03-31,6.75,$-6.18,0.0
2019-12-31,10.35,$-4.78,0.0
2019-09-30,10.08,$-2.67,0.0
2019-06-30,14.94,$-2.29,0.0
2019-03-31,19.57,$-2.93,0.0
2018-12-31,17.79,$-3.61,0.0
2020-06-30,11.36,$-7.10,0.0
2018-09-30,22.59,$-0.24,0.0
2018-06-30,28.17,$0.04,704.18
2018-03-31,24.24,$0.92,26.35
2017-12-31,29.02,$5.80,5.0
2017-09-30,33.25,$-0.08,0.0
2017-03-31,31.11,$-1.76,0.0
2016-12-31,33.28,$-2.67,0.0
2016-09-30,36.94,$-2.44,0.0
2016-06-30,39.36,$-2.12,0.0
2016-03-31,34.18,$-0.53,0.0
2015-12-31,26.48,$0.57,46.45
2015-09-30,32.88,$1.35,24.36
2015-06-30,41.28,$1.73,23.86
2015-03-31,42.04,$2.42,17.37
2014-12-31,38.39,$2.03,18.91
2014-09-30,46.41,$2.71,17.13
2014-06-30,54.18,$2.63,20.6
2013-12-31,45.27,$2.56,17.68
2013-09-30,44.72,$2.13,21.0
2013-06-30,40.0,$2.81,14.23
2013-03-31,34.13,$2.45,13.93
2012-12-31,29.69,$2.00,14.85
2014-03-31,48.91,$2.16,22.65
2012-09-30,29.6,$1.50,19.73
2012-06-30,26.8,$2.48,10.8
2012-03-31,23.98,$2.85,8.41
2011-12-31,27.14,$3.19,8.51
2011-09-30,26.34,$3.08,8.55
2011-06-30,25.83,$2.13,12.13
2011-03-31,24.43,$1.75,13.96
2010-12-31,21.85,$1.58,13.83
2010-09-30,17.47,$1.33,13.14
2010-06-30,17.41,$1.51,11.53
2010-03-31,19.65,$1.33,14.78
2017-06-30,29.84,$0.88,33.91
2009-12-31,20.94,$1.19,17.6
