American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,143.12,,26.5
2024-06-30,128.46,$5.40,23.79
2023-12-31,129.78,$4.89,26.54
2023-09-30,121.05,$4.82,25.11
2023-06-30,138.86,$4.11,33.79
2023-03-31,141.82,$4.30,32.98
2022-12-31,146.94,$4.59,32.01
2024-03-31,120.86,$4.65,25.99
2022-09-30,124.89,$7.25,17.23
2022-06-30,142.15,$7.15,19.88
2022-03-31,157.45,$7.09,22.21
2021-12-31,178.95,$6.95,25.75
2021-09-30,159.6,$4.20,38.0
2021-06-30,145.03,$4.13,35.12
2021-03-31,140.53,$3.96,35.49
2020-12-31,143.38,$3.91,36.67
2020-09-30,134.89,$3.65,36.96
2020-06-30,119.33,$3.52,33.9
2020-03-31,110.38,$3.49,31.63
2019-12-31,113.0,$3.43,32.95
2019-09-30,113.78,$3.51,32.42
2019-06-30,105.8,$3.22,32.86
2019-03-31,94.66,$3.19,29.67
2018-12-31,82.02,$3.16,25.95
2018-09-30,79.08,$2.53,31.26
2018-06-30,76.36,$2.62,29.15
2018-03-31,73.06,$2.44,29.94
2017-12-31,80.96,$2.37,34.16
2017-09-30,71.26,$2.95,24.16
2017-06-30,68.31,$2.65,25.78
2017-03-31,67.79,$2.69,25.2
2016-12-31,62.75,$2.72,23.07
2016-09-30,64.56,$3.11,20.76
2016-06-30,72.56,$2.96,24.51
2015-12-31,50.77,$2.63,19.3
2015-09-30,46.53,$2.60,17.9
2015-06-30,40.81,$2.49,16.39
2015-03-31,45.21,$2.42,18.68
2014-12-31,44.2,$2.36,18.73
2014-09-30,39.76,$2.17,18.32
2014-06-30,40.5,$2.16,18.75
2014-03-31,36.94,$2.12,17.42
2013-12-31,34.16,$2.06,16.58
2013-09-30,33.15,$2.04,16.25
2013-06-30,32.88,$2.06,15.96
2013-03-31,32.83,$2.09,15.71
2012-12-31,29.42,$2.01,14.64
2012-09-30,28.97,$2.07,13.99
2012-06-30,26.61,$1.99,13.37
2012-03-31,26.23,$1.87,14.03
2011-12-31,24.39,$1.90,12.84
2011-09-30,22.93,$1.76,13.03
2011-06-30,22.19,$1.69,13.13
2011-03-31,20.97,$1.63,12.87
2010-12-31,18.76,$1.54,12.18
2010-09-30,17.1,$1.52,11.25
2010-06-30,14.99,$1.33,11.27
2010-03-31,15.68,$1.23,12.75
2009-12-31,16.0,$-1.53,0.0
2009-09-30,14.09,$-1.28,0.0
