Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,120.69,,14.44
2024-06-30,105.98,$8.36,12.68
2024-03-31,103.58,$9.97,10.39
2023-12-31,98.04,$11.09,8.84
2023-09-30,88.57,$6.96,12.73
2023-06-30,92.2,$6.56,14.06
2023-03-31,101.0,$5.50,18.36
2022-12-31,104.38,$5.39,19.36
2022-09-30,92.47,$6.16,15.01
2022-06-30,102.63,$6.05,16.96
2022-03-31,105.48,$5.24,20.13
2021-12-31,100.82,$5.54,18.2
2021-09-30,88.01,$6.19,14.22
2021-06-30,87.59,$6.15,14.24
2021-03-31,86.62,$7.97,10.87
2020-12-31,86.07,$6.90,12.47
2020-09-30,84.21,$6.89,12.22
2020-06-30,79.45,$6.12,12.98
2020-03-31,78.8,$5.55,14.2
2019-12-31,99.75,$6.28,15.88
2019-09-30,96.94,$4.00,24.24
2019-06-30,84.3,$5.10,16.53
2019-03-31,78.32,$5.22,15.0
2018-12-31,69.78,$4.63,15.07
2018-09-30,65.08,$2.33,27.93
2018-06-30,64.12,$1.62,39.58
2018-03-31,61.82,$2.55,24.24
2017-12-31,63.09,$2.28,27.67
2017-09-30,58.59,$-4.94,0.0
2017-06-30,58.25,$-4.99,0.0
2017-03-31,56.98,$-4.10,0.0
2016-12-31,54.44,$-3.28,0.0
2016-09-30,56.17,$7.16,7.85
2016-06-30,58.92,$0.96,61.38
2016-03-31,56.79,$-1.37,0.0
2015-12-31,48.38,$-1.00,0.0
2015-09-30,45.48,$-0.90,0.0
2015-06-30,48.67,$4.41,11.04
2015-03-31,52.9,$4.63,11.43
2014-12-31,59.12,$5.22,11.33
2014-09-30,51.75,$5.38,9.62
2014-06-30,54.3,$5.45,9.96
2014-03-31,43.73,$5.32,8.22
2013-12-31,40.84,$3.98,10.26
2013-09-30,40.27,$4.82,8.35
2013-06-30,43.86,$5.37,8.17
2013-03-31,39.33,$6.51,6.04
2012-12-31,39.14,$4.75,8.24
2012-09-30,42.03,$3.96,10.61
2012-06-30,40.7,$5.60,7.27
2012-03-31,39.77,$5.30,7.5
2011-12-31,42.71,$7.54,5.67
2011-09-30,38.3,$7.93,4.83
2011-06-30,38.92,$7.02,5.54
2011-03-31,37.86,$6.91,5.48
2010-12-31,39.45,$6.65,5.93
2010-09-30,42.15,$7.03,6.0
2010-06-30,39.04,$6.73,5.8
2010-03-31,43.86,$6.22,7.05
2009-12-31,43.7,$6.30,6.94
