Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,138.84,,22.07
2024-06-30,118.15,$6.29,18.78
2024-03-31,134.16,$6.13,21.89
2023-12-31,125.71,$6.12,20.54
2023-09-30,103.0,$6.31,16.32
2023-06-30,118.13,$5.84,20.23
2023-03-31,104.65,$5.53,18.92
2022-12-31,102.78,$5.18,19.84
2022-09-30,87.22,$4.91,17.76
2022-06-30,94.8,$5.20,18.23
2022-03-31,105.88,$5.21,20.32
2021-12-31,127.27,$5.34,23.83
2021-09-30,126.67,$5.09,24.89
2021-06-30,133.15,$5.08,26.21
2021-03-31,119.76,$4.57,26.21
2020-12-31,110.63,$3.39,32.63
2020-09-30,93.75,$3.24,28.94
2020-06-30,96.58,$3.06,31.56
2020-03-31,86.67,$3.42,25.34
2019-12-31,116.92,$4.26,27.45
2019-09-30,97.09,$4.79,20.27
2019-06-30,103.29,$4.60,22.45
2019-03-31,84.53,$4.63,18.26
2018-12-31,74.06,$4.54,16.31
2018-09-30,83.94,$3.25,25.83
2018-06-30,71.53,$2.98,24.0
2018-03-31,78.66,$2.89,27.22
2017-12-31,73.19,$2.85,25.68
2017-09-30,79.4,$3.52,22.56
2017-06-30,74.34,$2.60,28.59
2017-03-31,69.23,$2.48,27.92
2016-12-31,58.41,$2.37,24.64
2016-09-30,62.77,$2.34,26.83
2016-06-30,63.13,$2.04,30.95
2016-03-31,57.83,$1.72,33.62
2015-12-31,59.72,$1.59,37.56
2015-09-30,52.16,$1.22,42.75
2015-06-30,54.31,$2.12,25.62
2015-03-31,55.15,$1.91,28.88
2014-12-31,49.92,$1.81,27.58
2014-09-30,42.82,$1.54,27.8
