Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,62.11,,0.0
2024-06-30,50.81,$-0.40,0.0
2024-03-31,43.16,$-0.19,0.0
2023-12-31,48.9,$-0.11,0.0
2023-09-30,40.96,$0.01,4096.36
2023-06-30,45.48,$0.19,239.35
2023-03-31,41.31,$-0.18,0.0
2022-12-31,42.49,$-0.12,0.0
2022-09-30,37.51,$-0.11,0.0
2022-06-30,47.5,$0.05,949.91
2022-03-31,56.54,$0.39,144.98
2021-12-31,46.46,$0.14,331.87
2021-09-30,49.74,$0.53,93.85
2021-06-30,51.03,$0.40,127.57
2021-03-31,47.29,$-0.25,0.0
2020-12-31,43.12,$1.16,37.17
2020-09-30,36.56,$0.90,40.62
2020-06-30,31.57,$1.10,28.7
2020-03-31,22.82,$2.10,10.87
2019-12-31,47.76,$1.19,40.13
2019-09-30,59.58,$1.33,44.8
2019-06-30,55.17,$1.38,39.98
2019-03-31,50.91,$1.26,40.41
2018-12-31,46.17,$1.13,40.86
2018-09-30,42.86,$2.05,20.91
2018-06-30,44.24,$3.48,12.71
2018-03-31,37.95,$3.44,11.03
2017-12-31,45.26,$3.77,12.0
2017-09-30,48.48,$3.26,14.87
2017-06-30,51.15,$1.97,25.96
2017-03-31,47.33,$1.97,24.03
2016-12-31,44.95,$1.86,24.17
2016-09-30,50.15,$1.65,30.39
2016-06-30,51.15,$1.30,39.34
2016-03-31,43.74,$1.33,32.88
2015-12-31,38.7,$1.26,30.72
2015-09-30,37.94,$1.25,30.35
2015-06-30,36.33,$1.55,23.44
2015-03-31,42.21,$1.57,26.89
2014-12-31,41.02,$1.61,25.48
2014-09-30,35.05,$1.62,21.64
2014-06-30,35.86,$1.65,21.73
2014-03-31,33.51,$1.57,21.34
2013-12-31,31.33,$1.54,20.34
2013-09-30,33.2,$1.46,22.74
2013-06-30,37.09,$1.44,25.76
2013-03-31,38.73,$1.30,29.79
2012-12-31,33.92,$1.23,27.58
2012-09-30,32.31,$1.60,20.19
2012-06-30,32.45,$1.57,20.67
2012-03-31,29.04,$1.43,20.31
2011-12-31,27.73,$1.42,19.53
2011-09-30,24.57,$1.25,19.66
2011-06-30,25.93,$1.27,20.42
2011-03-31,26.43,$1.53,17.27
2010-12-31,25.26,$1.57,16.09
2010-09-30,24.56,$1.43,17.17
2010-06-30,22.13,$1.38,16.04
2010-03-31,22.12,$1.58,14.0
2009-12-31,20.14,$1.76,11.45
