Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,112.72,,35.34
2024-06-30,97.81,$3.19,30.66
2024-03-31,111.32,$3.57,31.18
2023-12-31,99.83,$2.02,49.42
2023-06-30,92.66,$0.99,93.6
2023-03-31,73.59,$1.74,42.29
2022-12-31,74.44,$0.42,177.23
2022-09-30,64.15,$5.97,10.75
2022-06-30,49.92,$5.74,8.7
2023-09-30,85.07,$6.18,13.77
2022-03-31,53.64,$6.56,8.18
2021-12-31,48.29,$1.91,25.29
2021-09-30,45.95,$3.87,11.87
2021-06-30,52.52,$2.07,25.37
2021-03-31,55.41,$3.90,14.21
2020-12-31,48.47,$4.69,10.33
2020-09-30,42.1,$3.31,12.72
2020-06-30,46.32,$-12.48,0.0
2020-03-31,42.16,$-14.06,0.0
2019-12-31,44.04,$-14.26,0.0
2019-09-30,40.7,$-14.08,0.0
2019-06-30,40.21,$4.51,8.92
2019-03-31,40.69,$0.10,406.91
2018-12-31,37.32,$-0.08,0.0
2018-09-30,45.19,$2.32,19.48
2018-06-30,40.5,$0.74,54.74
2018-03-31,51.49,$5.36,9.61
2017-12-31,49.96,$5.75,8.69
2017-09-30,54.16,$3.44,15.74
2017-06-30,62.63,$4.04,15.5
2017-03-31,65.17,$4.20,15.52
2016-12-31,57.2,$4.17,13.72
2016-09-30,61.37,$4.13,14.86
2016-06-30,61.26,$4.32,14.18
2016-03-31,63.98,$4.18,15.31
2015-12-31,69.36,$4.10,16.92
2015-09-30,59.44,$3.98,14.93
2015-06-30,64.4,$3.61,17.84
2015-03-31,69.17,$3.41,20.29
2014-12-31,61.63,$3.23,19.08
2014-09-30,56.96,$3.36,16.95
2014-06-30,51.89,$0.86,60.33
2014-03-31,52.7,$1.18,44.66
2013-09-30,38.93,$1.15,33.85
2013-06-30,35.03,$0.95,36.87
2013-03-31,30.69,$3.35,9.16
2012-12-31,30.17,$3.15,9.58
2012-09-30,28.17,$3.22,8.75
2012-06-30,30.18,$3.18,9.49
2013-12-31,50.1,$3.18,15.75
2012-03-31,30.8,$2.95,10.44
2011-12-31,28.87,$2.70,10.69
2011-09-30,29.61,$2.56,11.57
2011-06-30,31.95,$2.72,11.75
2011-03-31,28.8,$2.77,10.4
2010-12-31,26.7,$2.68,9.96
2010-09-30,22.91,$2.72,8.42
2010-06-30,23.17,$1.77,13.09
2010-03-31,24.7,$1.90,13.0
2009-12-31,21.99,$2.16,10.18
