Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,9.25,,0.0
2024-05-31,15.84,$-6.74,0.0
2024-02-29,20.47,$-7.00,0.0
2023-11-30,18.99,$0.66,28.77
2023-08-31,23.54,$-3.57,0.0
2023-05-31,27.74,$-3.84,0.0
2023-02-28,31.97,$-3.65,0.0
2022-11-30,36.86,$-3.44,0.0
2022-08-31,30.77,$5.00,6.15
2022-05-31,37.99,$6.20,6.13
2022-02-28,39.49,$7.25,5.45
2021-11-30,38.0,$7.42,5.12
2021-08-31,42.63,$2.93,14.55
2021-05-31,43.8,$2.64,16.59
2021-02-28,39.52,$-0.69,0.0
2020-11-30,31.05,$-0.81,0.0
2020-08-31,30.68,$0.50,61.36
2020-05-31,34.26,$0.82,41.78
2020-02-29,36.09,$3.90,9.25
2019-11-30,46.6,$4.07,11.45
2019-08-31,39.73,$4.30,9.24
2019-05-31,37.95,$5.10,7.44
2019-02-28,54.3,$5.32,10.21
2018-11-30,64.19,$5.44,11.8
2018-08-31,51.7,$5.07,10.2
2018-05-31,46.76,$4.28,10.92
2018-02-28,51.32,$4.00,12.83
2017-11-30,53.89,$3.62,14.89
2017-08-31,60.02,$3.78,15.88
2017-05-31,59.37,$3.97,14.96
2017-02-28,63.02,$3.91,16.12
2016-11-30,61.54,$3.78,16.28
2016-08-31,58.36,$3.82,15.28
2016-05-31,55.71,$2.89,19.28
2016-02-29,56.56,$3.06,18.48
2015-11-30,59.93,$4.14,14.48
2015-08-31,61.45,$3.98,15.44
2015-05-31,60.71,$3.71,16.36
2015-02-28,58.53,$3.28,17.84
2014-11-30,48.13,$2.13,22.6
2014-08-31,42.24,$2.00,21.12
2014-05-31,49.92,$2.94,16.98
2014-02-28,46.96,$2.84,16.53
2013-11-30,40.69,$2.85,14.28
2013-08-31,32.87,$2.56,12.84
2013-05-31,32.45,$2.26,14.36
2013-02-28,27.66,$2.23,12.4
2012-11-30,22.76,$2.31,9.85
2012-08-31,23.8,$2.53,9.41
2012-05-31,20.16,$2.94,6.86
2011-08-31,22.78,$2.94,7.75
2011-05-31,28.05,$2.56,10.96
2011-02-28,27.76,$2.69,10.32
2010-11-30,22.23,$2.36,9.42
2010-08-31,17.06,$2.42,7.05
2012-02-29,21.75,$2.42,8.99
2010-05-31,20.21,$2.08,9.72
2010-02-28,22.14,$2.14,10.35
2009-11-30,24.34,$2.11,11.53
2009-08-31,21.13,$2.25,9.39
