Biogen PE Ratio Historical Data,Biogen PE Ratio Historical Data,Biogen PE Ratio Historical Data,Biogen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,204.76,,25.56
2024-03-31,215.63,$8.01,26.92
2023-12-31,258.77,$7.98,32.43
2023-09-30,257.01,$10.06,25.55
2023-06-30,284.85,$14.53,19.6
2023-03-31,278.03,$18.30,15.19
2022-12-31,276.92,$22.87,12.11
2024-06-30,231.82,$21.14,10.97
2022-09-30,267.0,$19.64,13.59
2022-06-30,203.94,$14.02,14.55
2022-03-31,210.6,$9.77,21.56
2021-12-31,239.92,$10.40,23.07
2021-09-30,282.99,$10.22,27.69
2021-06-30,346.27,$12.46,27.79
2021-03-31,279.75,$19.06,14.68
2020-12-31,244.86,$24.45,10.01
2020-09-30,283.68,$30.21,9.39
2020-06-30,267.55,$34.14,7.84
2020-03-31,316.38,$32.40,9.76
2019-12-31,296.73,$31.47,9.43
2019-09-30,232.82,$28.12,8.28
2019-06-30,233.87,$26.88,8.7
2019-03-31,236.38,$23.21,10.18
2018-12-31,300.92,$21.60,13.93
2018-09-30,353.31,$15.47,22.84
2018-06-30,290.24,$14.11,20.57
2018-03-31,273.82,$14.00,19.56
2017-12-31,318.57,$11.92,26.73
2017-09-30,313.12,$16.31,19.2
2017-06-30,271.36,$15.23,17.82
2017-03-31,273.42,$15.95,17.14
2016-12-31,261.39,$16.92,15.45
2016-09-30,288.53,$17.70,16.3
2016-06-30,222.89,$17.14,13.0
2016-03-31,239.95,$16.28,14.74
2015-12-31,282.37,$15.34,18.41
2015-09-30,268.35,$15.31,17.53
2015-06-30,372.33,$14.78,25.19
2015-03-31,389.19,$13.86,28.08
2014-12-31,312.88,$12.39,25.25
2014-09-30,304.92,$10.57,28.85
2014-06-30,290.63,$9.00,32.29
2014-03-31,281.93,$8.05,35.02
2013-12-31,257.69,$7.82,32.95
2013-09-30,221.92,$7.13,31.12
2013-06-30,198.36,$6.75,29.39
2013-03-31,177.54,$5.94,29.89
2012-12-31,134.91,$5.37,25.12
2012-09-30,137.53,$5.57,24.69
2012-03-31,116.14,$5.08,22.86
2011-12-31,101.44,$5.03,20.17
2011-09-30,85.86,$4.80,17.89
2011-06-30,98.55,$4.98,19.79
2011-03-31,67.72,$4.85,13.96
2010-12-31,61.8,$4.77,12.96
2012-06-30,133.08,$4.58,29.06
2010-09-30,51.73,$4.03,12.84
2010-06-30,43.74,$3.93,11.13
2010-03-31,52.9,$3.30,16.03
2009-12-31,49.31,$3.34,14.76
