Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,53.21,,18.16
2024-04-30,54.76,$2.93,18.69
2024-01-31,45.34,$2.96,15.32
2023-10-31,44.29,$2.57,17.23
2023-07-31,47.2,$2.24,21.07
2023-04-30,46.94,$3.49,13.45
2023-01-31,42.82,$3.07,13.95
2022-10-31,45.13,$3.20,14.1
2022-07-31,44.07,$3.29,13.4
2022-04-30,51.01,$2.90,17.59
2022-01-31,41.02,$2.18,18.82
2021-10-31,37.47,$1.33,28.18
2021-07-31,37.92,$1.49,25.45
2021-04-30,33.88,$1.91,17.74
2021-01-31,31.82,$3.25,9.79
2020-10-31,29.54,$3.75,7.88
2020-07-31,31.74,$3.27,9.71
2020-04-30,28.7,$2.61,11.0
2020-01-31,24.25,$2.04,11.89
2019-10-31,22.12,$1.96,11.28
2019-07-31,18.99,$2.03,9.36
2019-04-30,23.01,$2.28,10.09
2019-01-31,25.17,$3.70,6.8
2018-10-31,26.31,$4.34,6.06
2018-07-31,25.13,$4.39,5.72
2018-04-30,21.72,$4.16,5.22
2018-01-31,26.06,$2.11,12.35
2017-10-31,17.67,$1.68,10.52
2017-07-31,20.82,$1.65,12.62
2017-04-30,25.08,$1.66,15.11
2017-01-31,28.62,$2.04,14.03
2016-10-31,26.01,$2.08,12.51
2016-07-31,28.6,$2.10,13.62
2016-04-30,29.52,$2.14,13.79
2016-01-31,32.28,$1.96,16.47
2015-10-31,31.35,$1.76,17.86
2015-07-31,32.45,$1.68,19.37
2015-01-31,28.41,$1.73,16.47
2014-10-31,22.85,$1.61,14.19
2014-07-31,20.02,$1.53,13.08
2014-04-30,18.75,$1.48,12.67
2014-01-31,14.64,$1.45,10.09
2013-10-31,17.3,$1.49,11.65
2013-07-31,15.8,$1.50,10.53
2013-04-30,13.77,$1.46,9.47
2013-01-31,11.04,$1.62,6.81
2012-10-31,9.99,$1.57,6.36
2012-07-31,8.74,$1.00,8.74
2015-04-30,28.42,$0.91,31.23
2012-04-30,9.12,$0.52,17.72
2012-01-31,9.27,$0.48,19.52
2011-10-31,9.0,$0.97,9.33
2011-07-31,9.61,$0.96,10.01
2011-04-30,9.36,$0.94,10.01
2011-01-31,8.2,$0.88,9.37
2010-10-31,8.39,$0.85,9.87
2010-07-31,8.04,$0.01,536.05
2010-04-30,8.4,$0.00,0.0
2010-01-31,8.06,$0.05,179.22
2009-10-31,8.67,$0.12,75.38
