AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data,AES PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,17.13,,16.31
2024-06-30,17.4,$1.05,16.57
2024-03-31,17.59,$0.72,24.43
2023-12-31,18.69,$0.33,56.64
2023-09-30,14.6,$-0.88,0.0
2023-06-30,19.75,$-0.61,0.0
2023-03-31,22.79,$-0.82,0.0
2022-12-31,27.05,$-0.87,0.0
2022-09-30,21.13,$-0.47,0.0
2022-06-30,19.51,$-0.58,0.0
2022-03-31,23.71,$-0.27,0.0
2021-12-31,22.23,$-0.65,0.0
2021-09-30,20.77,$0.77,26.97
2021-06-30,23.56,$-0.21,0.0
2021-03-31,24.1,$-0.37,0.0
2020-12-31,21.0,$0.07,299.96
2020-09-30,16.06,$-0.52,0.0
2020-06-30,12.73,$0.30,42.44
2020-03-31,11.82,$0.44,26.87
2019-12-31,17.18,$0.45,38.17
2019-09-30,13.99,$0.76,18.41
2019-06-30,14.24,$0.59,24.13
2019-03-31,15.24,$1.01,15.09
2018-12-31,12.08,$1.81,6.68
2018-09-30,11.6,$-0.41,0.0
2018-06-30,11.0,$-0.33,0.0
2018-03-31,9.23,$-0.69,0.0
2017-12-31,8.69,$-1.76,0.0
2017-09-30,8.75,$-1.17,0.0
2017-06-30,8.73,$-1.14,0.0
2017-03-31,8.69,$-1.95,0.0
2016-12-31,8.94,$-1.72,0.0
2016-09-30,9.79,$-0.41,0.0
2016-06-30,9.42,$-0.41,0.0
2016-03-31,8.82,$0.42,21.0
2015-12-31,7.07,$0.43,16.45
2015-09-30,7.17,$0.85,8.44
2015-06-30,9.64,$1.26,7.65
2015-03-31,9.27,$1.34,6.92
2014-12-31,9.85,$1.06,9.29
2014-09-30,10.11,$0.49,20.63
2014-06-30,11.05,$-0.09,0.0
2014-03-31,10.11,$-0.05,0.0
2013-12-31,10.24,$0.14,73.11
2013-09-30,9.35,$0.65,14.38
2013-06-30,8.41,$-1.54,0.0
2013-03-31,8.79,$-1.58,0.0
2012-12-31,7.45,$-1.25,0.0
2012-09-30,7.61,$-1.75,0.0
2012-06-30,8.9,$0.18,49.46
2012-03-31,9.07,$0.22,41.23
2011-12-31,8.22,$0.06,136.94
2011-09-30,6.77,$-0.22,0.0
2011-06-30,8.84,$0.09,98.23
2011-03-31,9.02,$0.05,180.42
2010-12-31,8.45,$0.04,211.3
2010-09-30,7.88,$0.52,15.15
2010-06-30,6.41,$0.66,9.72
2010-03-31,7.63,$0.93,8.21
2009-12-31,9.24,$0.99,9.33
